FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.65540c1b-cecb-3f69-a5d2-8b15af1feee7,-75.083,9.86,2021-07-14T18:35:00,AQUA_M-T,San Jacinto,Bolívar,Colombia,POINT (9.86 -75.083)
focos_ams_ontem_hoje_ref.cd4c49bd-a2e5-37a5-89b7-91a05bdad900,-72.875,8.757,2021-07-14T18:35:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.757 -72.875)
focos_ams_ontem_hoje_ref.4d92e460-b5f5-32ae-ac1c-366ba33778cb,-72.897,8.782,2021-07-14T18:35:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.782 -72.897)
focos_ams_ontem_hoje_ref.cb4b1da7-f070-3984-b335-227510322347,-72.904,8.785,2021-07-14T18:35:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.785 -72.904)
focos_ams_ontem_hoje_ref.98365a4f-752a-34dc-8aca-c10c0ba5bf4e,-72.77,8.535,2021-07-14T18:35:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.535 -72.77)
focos_ams_ontem_hoje_ref.c62ae925-1f3c-3f66-9dd1-e118f06c7c60,-70.283,9.66,2021-07-14T18:35:00,AQUA_M-T,Carache,Trujillo,Venezuela,POINT (9.66 -70.283)
focos_ams_ontem_hoje_ref.214bfaad-6a7e-39aa-abfe-4941ada81fc1,-70.27,9.661,2021-07-14T18:35:00,AQUA_M-T,Carache,Trujillo,Venezuela,POINT (9.661 -70.27)
focos_ams_ontem_hoje_ref.678fd2e3-96d2-3b7d-a29a-821e0045151a,-70.998,10.584,2021-07-14T18:35:00,AQUA_M-T,Mauroa,Falcón,Venezuela,POINT (10.584 -70.998)
focos_ams_ontem_hoje_ref.f79f4cd7-cf97-3f15-93ae-0e68e7d8744f,-71.958,10.926,2021-07-14T18:35:00,AQUA_M-T,Mara,Zulia,Venezuela,POINT (10.926 -71.958)
focos_ams_ontem_hoje_ref.4aa784b8-5ca6-31c0-85a2-c7c27cef8277,-73.057,10.41,2021-07-14T18:35:00,AQUA_M-T,Manaure,Cesar,Colombia,POINT (10.41 -73.057)
focos_ams_ontem_hoje_ref.72675bba-cc5d-37d8-942e-a949bb013279,-73.001,11.204,2021-07-14T18:35:00,AQUA_M-T,Riohacha,La Guajira,Colombia,POINT (11.204 -73.001)
focos_ams_ontem_hoje_ref.68b39475-7a73-39f4-9e10-493321db7216,-72.966,11.241,2021-07-14T18:35:00,AQUA_M-T,Riohacha,La Guajira,Colombia,POINT (11.241 -72.966)
focos_ams_ontem_hoje_ref.38b3af42-51e7-39aa-99e7-141ded95ecb5,-72.953,11.243,2021-07-14T18:35:00,AQUA_M-T,Riohacha,La Guajira,Colombia,POINT (11.243 -72.953)
focos_ams_ontem_hoje_ref.f70b8603-738e-3430-8e0d-94a73b22b6b5,-74.967,6.224,2021-07-14T18:35:00,AQUA_M-T,San Carlos,Antioquia,Colombia,POINT (6.224 -74.967)
focos_ams_ontem_hoje_ref.4ec5bb55-e36a-3099-bc7c-966f0e75ece1,-70.39,10.623,2021-07-14T18:35:00,AQUA_M-T,Democracia,Falcón,Venezuela,POINT (10.623 -70.39)
focos_ams_ontem_hoje_ref.cd144987-3b1a-38e5-9daa-166a2822b202,-70.414,10.842,2021-07-14T18:35:00,AQUA_M-T,Democracia,Falcón,Venezuela,POINT (10.842 -70.414)
focos_ams_ontem_hoje_ref.05676182-6500-3a41-a7d5-f35f41bb0a11,-73.182,10.173,2021-07-14T18:35:00,AQUA_M-T,La Paz,Cesar,Colombia,POINT (10.173 -73.182)
focos_ams_ontem_hoje_ref.7f046c7e-38e5-3e0e-a207-83bebc1fc1ce,-74.806,9.585,2021-07-14T18:35:00,AQUA_M-T,Córdoba,Bolívar,Colombia,POINT (9.585 -74.806)
focos_ams_ontem_hoje_ref.4c09b60b-9173-3548-ad17-b1a335b89e7f,-68.788,-10.027,2021-07-14T18:30:00,AQUA_M-T,RIO BRANCO,ACRE,Brasil,POINT (-10.027 -68.788)
focos_ams_ontem_hoje_ref.aac7b068-dddd-3fb5-af6b-ce59fcfc6e2d,-67.843,-10.003,2021-07-14T18:30:00,AQUA_M-T,RIO BRANCO,ACRE,Brasil,POINT (-10.003 -67.843)
focos_ams_ontem_hoje_ref.931252a5-72a7-3ad1-baa8-b58bfa12c076,-77.036,3.876,2021-07-14T18:30:00,AQUA_M-T,Buenaventura,Valle del Cauca,Colombia,POINT (3.876 -77.036)
focos_ams_ontem_hoje_ref.7705727b-5f33-36f2-9096-a54f002d9eaf,-72.787,-9.566,2021-07-14T18:30:00,AQUA_M-T,Atalaya,Ucayali,Peru,POINT (-9.566 -72.787)
focos_ams_ontem_hoje_ref.e31bbd13-d9f3-3157-97e7-994e7a55fd61,-73.534,-9.542,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-9.542 -73.534)
focos_ams_ontem_hoje_ref.6de7b522-c217-3212-a8f1-735c76710685,-74.462,-9.26,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-9.26 -74.462)
focos_ams_ontem_hoje_ref.10150acd-efd3-3869-ac98-2a66f1a4455a,-74.738,-9.022,2021-07-14T18:30:00,AQUA_M-T,Puerto Inca,Huánuco,Peru,POINT (-9.022 -74.738)
focos_ams_ontem_hoje_ref.2f22fa18-6cff-3bf7-b1f4-044c9926bbd8,-74.194,-8.715,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.715 -74.194)
focos_ams_ontem_hoje_ref.95c015f5-fcad-39b4-be3b-4dd39c4616e3,-74.387,-8.549,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.549 -74.387)
focos_ams_ontem_hoje_ref.bb0c0716-e9fe-3649-a006-0d973ab139a2,-74.378,-8.547,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.547 -74.378)
focos_ams_ontem_hoje_ref.bd1191a4-189a-3711-bb10-4c10f651dee6,-74.467,-8.516,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.516 -74.467)
focos_ams_ontem_hoje_ref.6d765ae0-fc13-318f-980e-ead4ffd3a6ef,-74.695,-8.529,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.529 -74.695)
focos_ams_ontem_hoje_ref.f81ee2b3-fd88-3490-a4a9-d524db5a5dd5,-74.322,-8.521,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.521 -74.322)
focos_ams_ontem_hoje_ref.cf509a3e-0173-3891-b00e-6aa46e08e21b,-74.724,-8.339,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.339 -74.724)
focos_ams_ontem_hoje_ref.5f3700a9-72cc-3231-bc78-51ce32c198aa,-74.817,-8.197,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.197 -74.817)
focos_ams_ontem_hoje_ref.e23aa642-5852-3daa-a213-ff73b4fb7a1a,-74.367,-9.421,2021-07-14T18:30:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-9.421 -74.367)
focos_ams_ontem_hoje_ref.181ac15f-a8d7-32a6-ae52-8a677a449a1b,-76.053,-9.103,2021-07-14T18:30:00,AQUA_M-T,Leoncio Prado,Huánuco,Peru,POINT (-9.103 -76.053)
focos_ams_ontem_hoje_ref.e662bafd-98d2-325b-8462-ba5728c47e42,-75.191,-6.455,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-6.455 -75.191)
focos_ams_ontem_hoje_ref.2fb738a6-b690-3f6a-8b08-cd1b14c79f56,-75.718,-6.344,2021-07-14T18:30:00,AQUA_M-T,San Martín,San Martín,Peru,POINT (-6.344 -75.718)
focos_ams_ontem_hoje_ref.1b1a3437-92f6-3796-be0d-94bbdbb9f135,-75.803,-5.733,2021-07-14T18:30:00,AQUA_M-T,Alto Amazonas,Loreto,Peru,POINT (-5.733 -75.803)
focos_ams_ontem_hoje_ref.4f3642d3-5ee8-38f8-bda3-86600c88cd16,-74.851,-7.878,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-7.878 -74.851)
focos_ams_ontem_hoje_ref.c7493f7d-b8bd-3062-a2bb-b0dccd6f418d,-74.937,-7.386,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-7.386 -74.937)
focos_ams_ontem_hoje_ref.d4b595d5-1c86-35e8-bc21-2c316928b886,-75.129,-7.191,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-7.191 -75.129)
focos_ams_ontem_hoje_ref.eb201bca-09a5-3504-ae7f-e7d10b6f3580,-75.119,-7.19,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-7.19 -75.119)
focos_ams_ontem_hoje_ref.ca89f044-42cc-3241-ae71-8a8175f6deb7,-67.277,-8.786,2021-07-14T18:30:00,AQUA_M-T,BOCA DO ACRE,AMAZONAS,Brasil,POINT (-8.786 -67.277)
focos_ams_ontem_hoje_ref.16a82860-1fa9-31b7-b455-f9e49281650c,-75.044,-6.619,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-6.619 -75.044)
focos_ams_ontem_hoje_ref.1c3e3c2b-f356-324e-ab58-c0633e2d5a7a,-75.141,-6.651,2021-07-14T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-6.651 -75.141)
focos_ams_ontem_hoje_ref.68ec9cd8-dfc2-3d8c-b8b5-c2638bddafe9,-65.81,-12.564,2021-07-14T18:30:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.564 -65.81)
focos_ams_ontem_hoje_ref.379c355b-6025-33c8-8425-251394d764a7,-65.816,-12.527,2021-07-14T18:30:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.527 -65.816)
focos_ams_ontem_hoje_ref.d2dd3001-d42b-3201-b5eb-8958823bf3c2,-63.429,-9.17,2021-07-14T18:30:00,AQUA_M-T,ITAPUÃ DO OESTE,RONDÔNIA,Brasil,POINT (-9.17 -63.429)
focos_ams_ontem_hoje_ref.9fb6b0de-30fb-3b4c-ba1d-0e97e16dcd9c,-65.154,-9.703,2021-07-14T18:30:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.703 -65.154)
focos_ams_ontem_hoje_ref.666131ce-ee1c-32e6-9f52-f420a14dda08,-65.713,-12.391,2021-07-14T18:30:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-12.391 -65.713)
focos_ams_ontem_hoje_ref.19703cc5-3557-361d-a0a6-4575d470d953,-65.272,-9.615,2021-07-14T18:30:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.615 -65.272)
focos_ams_ontem_hoje_ref.d0611086-4cfd-34c6-a5a4-e40a54c661c4,-70.441,-9.51,2021-07-14T18:30:00,AQUA_M-T,SANTA ROSA DO PURUS,ACRE,Brasil,POINT (-9.51 -70.441)
focos_ams_ontem_hoje_ref.30ee964e-08c1-362e-bd72-1eff44d170b7,-70.431,-9.509,2021-07-14T18:30:00,AQUA_M-T,SANTA ROSA DO PURUS,ACRE,Brasil,POINT (-9.509 -70.431)
focos_ams_ontem_hoje_ref.eb4521ff-e287-3028-9fff-96aaa9a64a8d,-71.218,-8.806,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.806 -71.218)
focos_ams_ontem_hoje_ref.ec3b28a2-db56-3ac3-b33f-1949ee6615d7,-71.043,-8.365,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.365 -71.043)
focos_ams_ontem_hoje_ref.1218c08c-5b3c-3f23-ae08-6748eae58288,-70.73,-8.347,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.347 -70.73)
focos_ams_ontem_hoje_ref.24700078-438d-3eb3-9e47-2f861830b434,-70.77,-8.169,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.169 -70.77)
focos_ams_ontem_hoje_ref.d8d95bf6-9daa-3a36-9d75-34db873f4277,-70.987,-8.06,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.06 -70.987)
focos_ams_ontem_hoje_ref.205e2a33-04bd-37b1-ad9b-a8b43a009f45,-70.493,-8.128,2021-07-14T18:30:00,AQUA_M-T,FEIJÓ,ACRE,Brasil,POINT (-8.128 -70.493)
focos_ams_ontem_hoje_ref.b0e87a9d-b088-3b6b-80e9-a2eef484c4b0,-70.72,-8.346,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.346 -70.72)
focos_ams_ontem_hoje_ref.b815d1fe-09e3-379f-9262-7119bf06c014,-71.123,-8.274,2021-07-14T18:30:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.274 -71.123)
focos_ams_ontem_hoje_ref.4cf361da-dd31-3abf-a53b-3847dfbe9b38,-68.938,-10.492,2021-07-14T18:30:00,AQUA_M-T,XAPURI,ACRE,Brasil,POINT (-10.492 -68.938)
focos_ams_ontem_hoje_ref.58beb1fe-f17b-3e54-9bf5-f721a02599b6,-69.158,-10.586,2021-07-14T18:30:00,AQUA_M-T,BRASILÉIA,ACRE,Brasil,POINT (-10.586 -69.158)
