FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.1d4dff86-d853-3ad5-9c26-54e45f5db236,1d4dff86-d853-3ad5-9c26-54e45f5db236,-55.561,-6.127,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,1503606,15,33,15,0,0.5,Amazônia,POINT (-6.127 -55.561)
focos_brasil_ontem_hoje_ref.fe428449-6d34-34b7-bbc7-2102c9393829,fe428449-6d34-34b7-bbc7-2102c9393829,-55.574,-6.129,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,1503606,15,33,15,0,0.7,Amazônia,POINT (-6.129 -55.574)
focos_brasil_ontem_hoje_ref.f8b76f28-c44a-3da3-8446-4d64db20f09c,f8b76f28-c44a-3da3-8446-4d64db20f09c,-56.793,-6.855,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,1503606,15,33,20,0,0.6,Amazônia,POINT (-6.855 -56.793)
focos_brasil_ontem_hoje_ref.2b86729b-3417-3fb2-968a-74fad53f401e,2b86729b-3417-3fb2-968a-74fad53f401e,-55.153,-6.823,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,6,0,0.8,Amazônia,POINT (-6.823 -55.153)
focos_brasil_ontem_hoje_ref.ab070c42-1e96-3b78-ba09-a575e6d65ed0,ab070c42-1e96-3b78-ba09-a575e6d65ed0,-55.174,-6.356,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,6,0,0.7,Amazônia,POINT (-6.356 -55.174)
focos_brasil_ontem_hoje_ref.415ad076-bebb-37b7-93b3-75b2921ea699,415ad076-bebb-37b7-93b3-75b2921ea699,-50.456,-8.951,2021-07-15T17:35:00,AQUA_M-T,SANTA MARIA DAS BARREIRAS,PARÁ,Brasil,1506583,15,33,19,0,1,Amazônia,POINT (-8.951 -50.456)
focos_brasil_ontem_hoje_ref.51688dd4-11d2-352c-9a56-727da554116c,51688dd4-11d2-352c-9a56-727da554116c,-50.449,-8.963,2021-07-15T17:35:00,AQUA_M-T,SANTA MARIA DAS BARREIRAS,PARÁ,Brasil,1506583,15,33,18,0,1,Amazônia,POINT (-8.963 -50.449)
focos_brasil_ontem_hoje_ref.4699664b-7c74-393b-9e27-690a034504ab,4699664b-7c74-393b-9e27-690a034504ab,-54.646,-3.782,2021-07-15T17:35:00,AQUA_M-T,PLACAS,PARÁ,Brasil,1505650,15,33,3,0.2,0.7,Amazônia,POINT (-3.782 -54.646)
focos_brasil_ontem_hoje_ref.f67d84d4-3e73-3b6c-bcdd-765da3d272c7,f67d84d4-3e73-3b6c-bcdd-765da3d272c7,-55.187,-6.358,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,6,0,0.7,Amazônia,POINT (-6.358 -55.187)
focos_brasil_ontem_hoje_ref.ec26723f-a9d9-3db8-bda0-19ac9c82bcd8,ec26723f-a9d9-3db8-bda0-19ac9c82bcd8,-54.974,-8.316,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,58,0,0.8,Amazônia,POINT (-8.316 -54.974)
focos_brasil_ontem_hoje_ref.3b645e78-a5f3-3eda-9aec-b5d4a133532d,3b645e78-a5f3-3eda-9aec-b5d4a133532d,-55.131,-9.682,2021-07-15T17:35:00,AQUA_M-T,NOVO MUNDO,MATO GROSSO,Brasil,5106265,51,33,30,0,0.9,Amazônia,POINT (-9.682 -55.131)
