FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.a02dcc2c-9a3b-3d38-a3e9-e44769c191b2,a02dcc2c-9a3b-3d38-a3e9-e44769c191b2,-55.195,-7.551,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,26,0,1,Amazônia,POINT (-7.551 -55.195)
focos_brasil_ontem_hoje_ref.197b3708-5ef5-328c-b516-efe4582a38b0,197b3708-5ef5-328c-b516-efe4582a38b0,-55.182,-7.549,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,29,0,0.7,Amazônia,POINT (-7.549 -55.182)
focos_brasil_ontem_hoje_ref.cd088058-c71f-3204-9738-1903ae8899c7,cd088058-c71f-3204-9738-1903ae8899c7,-55.452,-6.876,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,4,0,1,Amazônia,POINT (-6.876 -55.452)
focos_brasil_ontem_hoje_ref.c4b9d0a5-f346-3d92-ba6c-d13895429017,c4b9d0a5-f346-3d92-ba6c-d13895429017,-55.453,-6.655,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,10,0,0.4,Amazônia,POINT (-6.655 -55.453)
focos_brasil_ontem_hoje_ref.54f7f58a-aa67-36fc-a2b4-72c5f6d89777,54f7f58a-aa67-36fc-a2b4-72c5f6d89777,-55.461,-6.65,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,10,0,0.9,Amazônia,POINT (-6.65 -55.461)
focos_brasil_ontem_hoje_ref.6c0d25cf-5ca6-351b-a0b3-69704bc266c6,6c0d25cf-5ca6-351b-a0b3-69704bc266c6,-55.448,-6.648,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,10,0,0.5,Amazônia,POINT (-6.648 -55.448)
focos_brasil_ontem_hoje_ref.1c14fd15-1303-3988-853f-d3be99a60028,1c14fd15-1303-3988-853f-d3be99a60028,-55.455,-6.644,2021-06-29T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,1505031,15,33,10,0,0.9,Amazônia,POINT (-6.644 -55.455)
focos_brasil_ontem_hoje_ref.0b25025f-1219-3833-aa0f-a7ae1626828a,0b25025f-1219-3833-aa0f-a7ae1626828a,-56.24,-10.779,2021-06-29T17:35:00,AQUA_M-T,NOVA CANAÃ DO NORTE,MATO GROSSO,Brasil,5106216,51,33,32,0,0.6,Amazônia,POINT (-10.779 -56.24)
focos_brasil_ontem_hoje_ref.e3ca4252-2116-3c5f-8974-09d0e150981d,e3ca4252-2116-3c5f-8974-09d0e150981d,-51.698,-10.063,2021-06-29T17:35:00,AQUA_M-T,VILA RICA,MATO GROSSO,Brasil,5108600,51,33,41,0,1,Amazônia,POINT (-10.063 -51.698)
focos_brasil_ontem_hoje_ref.a5512ed8-b2c4-3044-91ee-3282929c91e2,a5512ed8-b2c4-3044-91ee-3282929c91e2,-51.686,-10.098,2021-06-29T17:35:00,AQUA_M-T,CONFRESA,MATO GROSSO,Brasil,5103353,51,33,40,0,1,Amazônia,POINT (-10.098 -51.686)
focos_brasil_ontem_hoje_ref.748191b4-106a-3aea-a94b-59d83a23fcbe,748191b4-106a-3aea-a94b-59d83a23fcbe,-56.571,-10.46,2021-06-29T17:35:00,AQUA_M-T,ALTA FLORESTA,MATO GROSSO,Brasil,5100250,51,33,29,0,1,Amazônia,POINT (-10.46 -56.571)
