FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.1627a111-e238-32e6-9d43-364beee95e62,1627a111-e238-32e6-9d43-364beee95e62,-71.45,-7.968,2021-07-09T18:10:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,1200609,12,33,10,0.5,0.4,Amazônia,POINT (-7.968 -71.45)
focos_brasil_ontem_hoje_ref.9fe36a89-8a5d-351e-9bc7-1004ec3f83a8,9fe36a89-8a5d-351e-9bc7-1004ec3f83a8,-71.462,-7.97,2021-07-09T18:10:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,1200609,12,33,10,0.5,0.4,Amazônia,POINT (-7.97 -71.462)
focos_brasil_ontem_hoje_ref.2b760d8c-87ac-384a-8fe9-be82e23be5ec,2b760d8c-87ac-384a-8fe9-be82e23be5ec,-70.986,-8.089,2021-07-09T18:10:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,1200609,12,33,10,0.4,0.7,Amazônia,POINT (-8.089 -70.986)
focos_brasil_ontem_hoje_ref.5292a837-622c-3f6f-be02-6fe0d6082cb2,5292a837-622c-3f6f-be02-6fe0d6082cb2,-64.086,-8.25,2021-07-09T18:10:00,AQUA_M-T,CANUTAMA,AMAZONAS,Brasil,1300904,13,33,10,0,0.4,Amazônia,POINT (-8.25 -64.086)
focos_brasil_ontem_hoje_ref.a6fd94a0-73b0-3908-904e-b249e2582d9b,a6fd94a0-73b0-3908-904e-b249e2582d9b,-71.039,-8.27,2021-07-09T18:10:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,1200609,12,33,9,0.2,0.6,Amazônia,POINT (-8.27 -71.039)
focos_brasil_ontem_hoje_ref.8d9ffdfb-b67b-3d3c-b65a-614d45ba866e,8d9ffdfb-b67b-3d3c-b65a-614d45ba866e,-72.743,-8.279,2021-07-09T18:10:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,1200393,12,33,0,0,0.3,Amazônia,POINT (-8.279 -72.743)
focos_brasil_ontem_hoje_ref.d5099381-1e93-3497-a652-6dddc22e4867,d5099381-1e93-3497-a652-6dddc22e4867,-64.13,-8.62,2021-07-09T18:10:00,AQUA_M-T,CANUTAMA,AMAZONAS,Brasil,1300904,13,33,22,0,0.7,Amazônia,POINT (-8.62 -64.13)
focos_brasil_ontem_hoje_ref.67c0d527-a941-345c-bb67-9fcd2ca139cc,67c0d527-a941-345c-bb67-9fcd2ca139cc,-63.647,-9.745,2021-07-09T18:10:00,AQUA_M-T,ALTO PARAÍSO,RONDÔNIA,Brasil,1100403,11,33,22,0,0.6,Amazônia,POINT (-9.745 -63.647)
focos_brasil_ontem_hoje_ref.56a5ae3c-9980-3fc4-97ec-605f48e12be7,56a5ae3c-9980-3fc4-97ec-605f48e12be7,-69.39,-10.672,2021-07-09T18:10:00,AQUA_M-T,BRASILÉIA,ACRE,Brasil,1200104,12,33,10,0,0.6,Amazônia,POINT (-10.672 -69.39)
focos_brasil_ontem_hoje_ref.9082ab4f-a6ec-33f6-a054-b5b6b57038d3,9082ab4f-a6ec-33f6-a054-b5b6b57038d3,-62.718,-9.998,2021-07-09T18:10:00,AQUA_M-T,ARIQUEMES,RONDÔNIA,Brasil,1100023,11,33,19,0,0.8,Amazônia,POINT (-9.998 -62.718)
