FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.0bc0775b-d5fd-3bbb-b570-6e642ad60c85,-80.714,-5.276,2021-07-15T19:15:00,AQUA_M-T,Piura,Piura,Peru,POINT (-5.276 -80.714)
focos_ams_ontem_hoje_ref.a5f4f805-8911-30e1-8e53-2c5441dc675a,-80.811,-4.881,2021-07-15T19:15:00,AQUA_M-T,Sullana,Piura,Peru,POINT (-4.881 -80.811)
focos_ams_ontem_hoje_ref.d2d041c2-c3f6-352f-a100-d23c72a23e4e,-74.584,-12.947,2021-07-15T19:10:00,AQUA_M-T,Angaraes,Huancavelica,Peru,POINT (-12.947 -74.584)
focos_ams_ontem_hoje_ref.faf44cea-2c5d-3f08-b959-0aaf16869fff,-74.589,-12.947,2021-07-15T19:10:00,AQUA_M-T,Angaraes,Huancavelica,Peru,POINT (-12.947 -74.589)
focos_ams_ontem_hoje_ref.6ec9f10a-8695-3f79-938b-9a62bf0d3c32,-66.273,-36.906,2021-07-15T19:05:00,AQUA_M-T,Limay Mahuida,La Pampa,Argentina,POINT (-36.906 -66.273)
focos_ams_ontem_hoje_ref.61f5a2e4-f863-31c1-a61f-93ca03d27a03,-71.7,-36.761,2021-07-15T19:05:00,AQUA_M-T,Ñuble,Bío-Bío,Chile,POINT (-36.761 -71.7)
focos_ams_ontem_hoje_ref.ce6d8b48-313e-3747-bfaf-49089783626a,-71.716,-36.764,2021-07-15T19:05:00,AQUA_M-T,Ñuble,Bío-Bío,Chile,POINT (-36.764 -71.716)
focos_ams_ontem_hoje_ref.f245186e-014c-3f09-998c-d036adebf504,-66.313,-36.915,2021-07-15T19:05:00,AQUA_M-T,Limay Mahuida,La Pampa,Argentina,POINT (-36.915 -66.313)
focos_ams_ontem_hoje_ref.dfc1071f-6775-31a5-84ec-841b3780d495,-66.305,-36.914,2021-07-15T19:05:00,AQUA_M-T,Limay Mahuida,La Pampa,Argentina,POINT (-36.914 -66.305)
focos_ams_ontem_hoje_ref.94a432e2-45e3-3b20-abc0-b1fb86581343,-66.28,-36.907,2021-07-15T19:05:00,AQUA_M-T,Limay Mahuida,La Pampa,Argentina,POINT (-36.907 -66.28)
focos_ams_ontem_hoje_ref.dbf6481e-eb24-3a96-b541-c00d11ee9211,-68.869,5.576,2021-07-15T17:40:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.576 -68.869)
focos_ams_ontem_hoje_ref.6d9f05f4-c02d-38c7-9277-0e22298fea52,-61.581,7.174,2021-07-15T17:40:00,AQUA_M-T,El Callao,Bolívar,Venezuela,POINT (7.174 -61.581)
focos_ams_ontem_hoje_ref.12bec8f3-4f07-3721-afe8-f454d734daba,-72.746,8.312,2021-07-15T17:40:00,AQUA_M-T,Sardinata,Norte de Santander,Colombia,POINT (8.312 -72.746)
focos_ams_ontem_hoje_ref.e7789be1-5f9b-39c4-9055-dd60951e535d,-70.246,10.413,2021-07-15T17:40:00,AQUA_M-T,Torres,Lara,Venezuela,POINT (10.413 -70.246)
focos_ams_ontem_hoje_ref.9770536c-883e-331c-a187-a7b1c592e33c,-72.753,8.314,2021-07-15T17:40:00,AQUA_M-T,Sardinata,Norte de Santander,Colombia,POINT (8.314 -72.753)
focos_ams_ontem_hoje_ref.2e5c1cb6-6bcb-3fa9-b31c-d8bc6730ebcc,-70.546,10.526,2021-07-15T17:40:00,AQUA_M-T,Dabajuro,Falcón,Venezuela,POINT (10.526 -70.546)
focos_ams_ontem_hoje_ref.155f0fd4-d1ce-37f9-885b-1c1662f3631b,-68.863,5.569,2021-07-15T17:40:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.569 -68.863)
focos_ams_ontem_hoje_ref.bf6a464d-ea0b-3604-8562-cc29295d72e3,-68.978,5.651,2021-07-15T17:40:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.651 -68.978)
focos_ams_ontem_hoje_ref.568c5534-c660-3bc5-9f12-b116744e823e,-56.803,-6.857,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,POINT (-6.857 -56.803)
focos_ams_ontem_hoje_ref.c4bfaaf3-a890-3a3f-92e7-2a68c82dcf63,-55.418,-7.068,2021-07-15T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,POINT (-7.068 -55.418)
focos_ams_ontem_hoje_ref.00d8a380-4cb9-3864-be86-aceb19fcd8de,-55.356,-8.008,2021-07-15T17:35:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,POINT (-8.008 -55.356)
focos_ams_ontem_hoje_ref.f8b76f28-c44a-3da3-8446-4d64db20f09c,-56.793,-6.855,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,POINT (-6.855 -56.793)
focos_ams_ontem_hoje_ref.1d4dff86-d853-3ad5-9c26-54e45f5db236,-55.561,-6.127,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,POINT (-6.127 -55.561)
focos_ams_ontem_hoje_ref.fe428449-6d34-34b7-bbc7-2102c9393829,-55.574,-6.129,2021-07-15T17:35:00,AQUA_M-T,ITAITUBA,PARÁ,Brasil,POINT (-6.129 -55.574)
focos_ams_ontem_hoje_ref.2b86729b-3417-3fb2-968a-74fad53f401e,-55.153,-6.823,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-6.823 -55.153)
focos_ams_ontem_hoje_ref.cab964e8-259d-3faf-bf5e-10cecf06bb21,-55.119,-9.68,2021-07-15T17:35:00,AQUA_M-T,NOVO MUNDO,MATO GROSSO,Brasil,POINT (-9.68 -55.119)
focos_ams_ontem_hoje_ref.ab070c42-1e96-3b78-ba09-a575e6d65ed0,-55.174,-6.356,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-6.356 -55.174)
focos_ams_ontem_hoje_ref.ec26723f-a9d9-3db8-bda0-19ac9c82bcd8,-54.974,-8.316,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-8.316 -54.974)
focos_ams_ontem_hoje_ref.4699664b-7c74-393b-9e27-690a034504ab,-54.646,-3.782,2021-07-15T17:35:00,AQUA_M-T,PLACAS,PARÁ,Brasil,POINT (-3.782 -54.646)
focos_ams_ontem_hoje_ref.f67d84d4-3e73-3b6c-bcdd-765da3d272c7,-55.187,-6.358,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-6.358 -55.187)
focos_ams_ontem_hoje_ref.415ad076-bebb-37b7-93b3-75b2921ea699,-50.456,-8.951,2021-07-15T17:35:00,AQUA_M-T,SANTA MARIA DAS BARREIRAS,PARÁ,Brasil,POINT (-8.951 -50.456)
focos_ams_ontem_hoje_ref.977937eb-d681-3932-8af3-25b9d4d739fe,-55.694,-10.177,2021-07-15T17:35:00,AQUA_M-T,CARLINDA,MATO GROSSO,Brasil,POINT (-10.177 -55.694)
focos_ams_ontem_hoje_ref.b5aaa04b-6ac0-33be-b8e7-16b84a988475,-55.138,-6.831,2021-07-15T17:35:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-6.831 -55.138)
focos_ams_ontem_hoje_ref.3b645e78-a5f3-3eda-9aec-b5d4a133532d,-55.131,-9.682,2021-07-15T17:35:00,AQUA_M-T,NOVO MUNDO,MATO GROSSO,Brasil,POINT (-9.682 -55.131)
focos_ams_ontem_hoje_ref.346c0dcd-bef2-3219-904c-dd8a160c1b22,-62.76,-11.864,2021-07-15T17:35:00,AQUA_M-T,SÃO MIGUEL DO GUAPORÉ,RONDÔNIA,Brasil,POINT (-11.864 -62.76)
focos_ams_ontem_hoje_ref.4cf22b14-a3f0-3c33-9785-06086d44e2e6,-62.378,-9.535,2021-07-15T17:35:00,AQUA_M-T,MACHADINHO D'OESTE,RONDÔNIA,Brasil,POINT (-9.535 -62.378)
focos_ams_ontem_hoje_ref.ca692aa0-5971-3c4e-bbd4-c13b17c859a4,-62.255,-7.368,2021-07-15T17:35:00,AQUA_M-T,HUMAITÁ,AMAZONAS,Brasil,POINT (-7.368 -62.255)
focos_ams_ontem_hoje_ref.74b22d86-6c1a-38c7-85ae-88bc0bb27260,-53.734,-10.81,2021-07-15T17:35:00,AQUA_M-T,MARCELÂNDIA,MATO GROSSO,Brasil,POINT (-10.81 -53.734)
focos_ams_ontem_hoje_ref.08088c0a-6156-3110-a648-606d67018583,-52.067,-10.025,2021-07-15T17:35:00,AQUA_M-T,VILA RICA,MATO GROSSO,Brasil,POINT (-10.025 -52.067)
focos_ams_ontem_hoje_ref.cd3e731f-2364-3b60-a935-c444fb182093,-53.715,-10.634,2021-07-15T17:35:00,AQUA_M-T,MARCELÂNDIA,MATO GROSSO,Brasil,POINT (-10.634 -53.715)
focos_ams_ontem_hoje_ref.78e11fef-4a8d-341a-a8d4-ed362ddace1d,-53.257,-9.789,2021-07-15T17:35:00,AQUA_M-T,PEIXOTO DE AZEVEDO,MATO GROSSO,Brasil,POINT (-9.789 -53.257)
focos_ams_ontem_hoje_ref.32f12ca0-a327-35d7-9365-262a79c23a98,-51.727,-6.859,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.859 -51.727)
focos_ams_ontem_hoje_ref.cec59aca-9952-376a-b67a-f3bcd4e89b73,-51.736,-6.854,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.854 -51.736)
focos_ams_ontem_hoje_ref.69a9591b-20db-34cf-bd74-5595dce5b9ea,-52.604,-6.951,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.951 -52.604)
focos_ams_ontem_hoje_ref.4f283281-c26c-3ea5-87d3-cb97080cd157,-52.061,-6.999,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.999 -52.061)
focos_ams_ontem_hoje_ref.e1c3e355-9f9e-3be9-ac93-bd51ee6b8014,-52.083,-7.002,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-7.002 -52.083)
focos_ams_ontem_hoje_ref.124351f7-2980-3562-afb9-5597072aad04,-52.055,-7.004,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-7.004 -52.055)
focos_ams_ontem_hoje_ref.b4e1d6b3-6bdd-3220-b795-be8919421914,-52.077,-7.008,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-7.008 -52.077)
focos_ams_ontem_hoje_ref.c62ff6f1-f232-316d-959a-c7618971db60,-51.543,-6.487,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.487 -51.543)
focos_ams_ontem_hoje_ref.2e0cf1a7-b1c2-39f5-8a26-6a6cd4a343f4,-51.535,-6.49,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.49 -51.535)
focos_ams_ontem_hoje_ref.76f93aa6-1588-3fb1-aa6d-4e8dae93847d,-51.568,-6.491,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.491 -51.568)
focos_ams_ontem_hoje_ref.5a5fd01f-3243-3a55-a4e9-75dd5d3d5c5d,-57.303,-10.522,2021-07-15T17:35:00,AQUA_M-T,JUARA,MATO GROSSO,Brasil,POINT (-10.522 -57.303)
focos_ams_ontem_hoje_ref.1267a2e9-4b75-3170-a643-2cac12e56a7a,-51.56,-6.494,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.494 -51.56)
focos_ams_ontem_hoje_ref.d2fb3d23-d3ea-323c-a491-afae7ff71f17,-51.541,-6.501,2021-07-15T17:35:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.501 -51.541)
focos_ams_ontem_hoje_ref.361075fe-46c5-371d-bb5c-6c9b51332df4,-57.727,-9.552,2021-07-15T17:35:00,AQUA_M-T,APIACÁS,MATO GROSSO,Brasil,POINT (-9.552 -57.727)
focos_ams_ontem_hoje_ref.d21ba5cc-51c0-3f2d-8e2d-21bb9318139a,-59.934,-7.312,2021-07-15T17:35:00,AQUA_M-T,APUÍ,AMAZONAS,Brasil,POINT (-7.312 -59.934)
focos_ams_ontem_hoje_ref.375dc15f-f405-3816-9653-d9613ba74557,-61.401,-7.709,2021-07-15T17:35:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,POINT (-7.709 -61.401)
focos_ams_ontem_hoje_ref.025dad86-8b0a-3455-bdf1-7ac53b606cf3,-61.4,-7.719,2021-07-15T17:35:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,POINT (-7.719 -61.4)
focos_ams_ontem_hoje_ref.dd4a9eac-1ac5-3a90-b7d7-26220ef1d5a7,-56.861,-9.675,2021-07-15T17:35:00,AQUA_M-T,PARANAÍTA,MATO GROSSO,Brasil,POINT (-9.675 -56.861)
focos_ams_ontem_hoje_ref.154af2c9-27df-361a-b832-c91967183d61,-60.945,-5.774,2021-07-15T17:35:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,POINT (-5.774 -60.945)
focos_ams_ontem_hoje_ref.d21857c1-0361-35ae-8eb1-933681edc261,-61.124,-5.559,2021-07-15T17:35:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,POINT (-5.559 -61.124)
