FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.b4a8d13d-bf4d-39c6-84bc-11c4bf8321c1,-80.475,-0.741,2021-07-08T19:10:00,AQUA_M-T,Sucre,Manabi,Ecuador,POINT (-0.741 -80.475)
focos_ams_ontem_hoje_ref.08458be9-baa0-339c-99b5-7dadc04e9800,-74.262,1.183,2021-07-08T19:10:00,AQUA_M-T,San Vicente del Caguán,Caquetá,Colombia,POINT (1.183 -74.262)
focos_ams_ontem_hoje_ref.2ebe0b3d-1224-327c-8eee-dc3c6273fe7b,-80.501,-3.575,2021-07-08T19:05:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.575 -80.501)
focos_ams_ontem_hoje_ref.ae7ad186-1868-3505-b7ff-072b92541e1d,-80.46,-3.559,2021-07-08T19:05:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.559 -80.46)
focos_ams_ontem_hoje_ref.60d9f15b-16f6-3743-b936-f3afe30505e0,-80.539,-3.611,2021-07-08T19:05:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.611 -80.539)
focos_ams_ontem_hoje_ref.66009c5f-8907-3fd0-8d30-acaea442655c,-80.331,-3.508,2021-07-08T19:05:00,AQUA_M-T,Zarumilla,Tumbes,Peru,POINT (-3.508 -80.331)
focos_ams_ontem_hoje_ref.39a6bdfe-52bd-31d0-b00c-ef21cf6d330e,-79.846,-6.738,2021-07-08T19:05:00,AQUA_M-T,Chiclayo,Lambayeque,Peru,POINT (-6.738 -79.846)
focos_ams_ontem_hoje_ref.c801106e-fc91-36ba-a0cf-b5cdbad7de8c,-74.95,-14.166,2021-07-08T19:05:00,AQUA_M-T,Lucanas,Ayacucho,Peru,POINT (-14.166 -74.95)
focos_ams_ontem_hoje_ref.f14b4c06-dd92-3937-b322-01ec3e5e6f99,-75.24,-9.894,2021-07-08T19:05:00,AQUA_M-T,Oxapampa,Pasco,Peru,POINT (-9.894 -75.24)
focos_ams_ontem_hoje_ref.5c534ddc-7895-352b-aeed-857df5f9130b,-76.207,-8.779,2021-07-08T19:05:00,AQUA_M-T,Leoncio Prado,Huánuco,Peru,POINT (-8.779 -76.207)
focos_ams_ontem_hoje_ref.de666ab8-dc0f-38b5-a489-ea69c99f2fe4,-76.596,-7.366,2021-07-08T19:05:00,AQUA_M-T,Mariscal Cáceres,San Martín,Peru,POINT (-7.366 -76.596)
