FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.de469e54-2ed5-3f14-ad7a-e2fc5b47dfed,de469e54-2ed5-3f14-ad7a-e2fc5b47dfed,-43.192,-4.636,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,2103000,21,33,,,,Cerrado,POINT (-4.636 -43.192)
focos_brasil_ontem_hoje_ref.ab0fb56b-9445-33f9-8568-cefdfcbdbd81,ab0fb56b-9445-33f9-8568-cefdfcbdbd81,-43.158,-4.644,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,2103000,21,33,,,,Cerrado,POINT (-4.644 -43.158)
focos_brasil_ontem_hoje_ref.168eb061-d539-30de-902e-c2fb4378f45e,168eb061-d539-30de-902e-c2fb4378f45e,-43.711,-5.425,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,2107803,21,33,,,,Cerrado,POINT (-5.425 -43.711)
focos_brasil_ontem_hoje_ref.66a13445-23c6-3ca1-a4d4-1c3f14e78681,66a13445-23c6-3ca1-a4d4-1c3f14e78681,-42.489,-2.911,2021-07-08T15:50:00,AQUA_M-T,TUTÓIA,MARANHÃO,Brasil,2112506,21,33,,,,Cerrado,POINT (-2.911 -42.489)
focos_brasil_ontem_hoje_ref.c3a86e85-b6be-345f-b9dc-cd93767d6bff,c3a86e85-b6be-345f-b9dc-cd93767d6bff,-43.715,-5.426,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,2107803,21,33,,,,Cerrado,POINT (-5.426 -43.715)
focos_brasil_ontem_hoje_ref.090370c0-2963-3559-b87e-5847bc02e464,090370c0-2963-3559-b87e-5847bc02e464,-43.752,-5.43,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,2107803,21,33,,,,Cerrado,POINT (-5.43 -43.752)
focos_brasil_ontem_hoje_ref.387b8f5d-77d1-3f0c-b1f6-5c01d3342189,387b8f5d-77d1-3f0c-b1f6-5c01d3342189,-42.596,-3.171,2021-07-08T15:50:00,AQUA_M-T,SANTANA DO MARANHÃO,MARANHÃO,Brasil,2110237,21,33,,,,Cerrado,POINT (-3.171 -42.596)
focos_brasil_ontem_hoje_ref.3bb3c76e-e9e2-3d9c-96ec-7698e8be0180,3bb3c76e-e9e2-3d9c-96ec-7698e8be0180,-43.275,-4.41,2021-07-08T15:50:00,AQUA_M-T,ALDEIAS ALTAS,MARANHÃO,Brasil,2100303,21,33,,,,Cerrado,POINT (-4.41 -43.275)
focos_brasil_ontem_hoje_ref.9be9e3ed-70b1-3775-8837-cc4f2474fcd7,9be9e3ed-70b1-3775-8837-cc4f2474fcd7,-43.156,-4.631,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,2103000,21,33,,,,Cerrado,POINT (-4.631 -43.156)
focos_brasil_ontem_hoje_ref.3a41fe8a-91ef-381f-a77f-4adba25b17f1,3a41fe8a-91ef-381f-a77f-4adba25b17f1,-43.195,-4.649,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,2103000,21,33,,,,Cerrado,POINT (-4.649 -43.195)
focos_brasil_ontem_hoje_ref.bf4837ac-1f2f-3a35-bd7f-c05c15ff7b9c,bf4837ac-1f2f-3a35-bd7f-c05c15ff7b9c,-72.707,-7.34,2021-07-07T18:25:00,AQUA_M-T,GUAJARÁ,AMAZONAS,Brasil,1301654,13,33,8,0,0.3,Amazônia,POINT (-7.34 -72.707)
focos_brasil_ontem_hoje_ref.44e34612-06e9-383a-93c0-8083fc99eee1,44e34612-06e9-383a-93c0-8083fc99eee1,-72.83,-8.219,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,1200393,12,33,8,0,0.4,Amazônia,POINT (-8.219 -72.83)
focos_brasil_ontem_hoje_ref.ac49fd3d-e43b-3474-9a07-bd9246c31851,ac49fd3d-e43b-3474-9a07-bd9246c31851,-72.953,-7.659,2021-07-07T18:25:00,AQUA_M-T,MÂNCIO LIMA,ACRE,Brasil,1200336,12,33,8,0,0.4,Amazônia,POINT (-7.659 -72.953)
focos_brasil_ontem_hoje_ref.70457c0f-86d7-3abe-ad71-4bbdad430559,70457c0f-86d7-3abe-ad71-4bbdad430559,-72.761,-8.219,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,1200393,12,33,8,0,0.4,Amazônia,POINT (-8.219 -72.761)
focos_brasil_ontem_hoje_ref.69f8080d-cff6-32ba-ae03-c323f5b51984,69f8080d-cff6-32ba-ae03-c323f5b51984,-72.82,-8.218,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,1200393,12,33,8,0,0.4,Amazônia,POINT (-8.218 -72.82)
focos_brasil_ontem_hoje_ref.73ebf789-9d7f-3be8-90e1-ec826482f2dd,73ebf789-9d7f-3be8-90e1-ec826482f2dd,-72.752,-8.218,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,1200393,12,33,8,0,0.4,Amazônia,POINT (-8.218 -72.752)
focos_brasil_ontem_hoje_ref.fc6ca4a3-7d01-3bd2-9fed-ca4c3b7075e9,fc6ca4a3-7d01-3bd2-9fed-ca4c3b7075e9,-72.678,-9.127,2021-07-07T18:25:00,AQUA_M-T,MARECHAL THAUMATURGO,ACRE,Brasil,1200351,12,33,8,0,0.5,Amazônia,POINT (-9.127 -72.678)
focos_brasil_ontem_hoje_ref.194dab5f-957c-3d09-b797-9c43ae48db04,194dab5f-957c-3d09-b797-9c43ae48db04,-66.741,-9.537,2021-07-07T18:20:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,1302405,13,33,8,0,0.6,Amazônia,POINT (-9.537 -66.741)
focos_brasil_ontem_hoje_ref.2bca64e1-ffc7-3dea-bc50-3f45c44eb295,2bca64e1-ffc7-3dea-bc50-3f45c44eb295,-66.962,-9.778,2021-07-07T18:20:00,AQUA_M-T,ACRELÂNDIA,ACRE,Brasil,1200013,12,33,8,0,0.9,Amazônia,POINT (-9.778 -66.962)
