FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.447e44b8-d262-37ce-94e9-291b96d4eaa3,-80.666,-2.4,2021-07-01T19:00:00,AQUA_M-T,Santa Elena,Santa Elena,Ecuador,POINT (-2.4 -80.666)
focos_ams_ontem_hoje_ref.8c818d97-57a1-332d-ba32-293d41b55eed,-80.829,-4.863,2021-07-01T19:00:00,AQUA_M-T,Sullana,Piura,Peru,POINT (-4.863 -80.829)
focos_ams_ontem_hoje_ref.56445364-17c4-3103-af38-c60c1a77ab1d,-80.287,-4.748,2021-07-01T19:00:00,AQUA_M-T,Piura,Piura,Peru,POINT (-4.748 -80.287)
focos_ams_ontem_hoje_ref.555cb670-79a3-3749-9801-67e1a80bd1a2,-79.965,-4.626,2021-07-01T19:00:00,AQUA_M-T,Ayabaca,Piura,Peru,POINT (-4.626 -79.965)
focos_ams_ontem_hoje_ref.d2b2da73-abcd-37f0-969a-697258132704,-80.546,-3.606,2021-07-01T19:00:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.606 -80.546)
focos_ams_ontem_hoje_ref.791058ed-a3ed-3cf7-a62b-e1930425aa39,-80.499,-3.582,2021-07-01T19:00:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.582 -80.499)
focos_ams_ontem_hoje_ref.7d613ba7-f61a-3594-b2ec-607895c0383d,-80.273,-2.462,2021-07-01T19:00:00,AQUA_M-T,Guayaquil,Guayas,Ecuador,POINT (-2.462 -80.273)
focos_ams_ontem_hoje_ref.d4437450-f0d1-365f-acef-e19653aa294a,-80.263,-2.461,2021-07-01T19:00:00,AQUA_M-T,Guayaquil,Guayas,Ecuador,POINT (-2.461 -80.263)
focos_ams_ontem_hoje_ref.fbdb870d-2d61-3590-b45f-3b8d8f89c5d2,-71.859,-14.52,2021-07-01T19:00:00,AQUA_M-T,Chumbivilcas,Cusco,Peru,POINT (-14.52 -71.859)
focos_ams_ontem_hoje_ref.cc66263d-a66d-3249-a176-64df56a8a91b,-75.814,-12.908,2021-07-01T19:00:00,AQUA_M-T,Yauyos,Lima,Peru,POINT (-12.908 -75.814)
