FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.06cce2e7-d79f-3dff-9fe3-cd37b5456c35,-69.487,5.475,2021-07-02T18:10:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.475 -69.487)
focos_ams_ontem_hoje_ref.64457084-9df2-3fae-ad02-34da70a2a43a,-69.496,5.474,2021-07-02T18:10:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.474 -69.496)
focos_ams_ontem_hoje_ref.600dfcd7-16f9-33e0-9a58-cca837257cc0,-68.359,6.242,2021-07-02T18:10:00,AQUA_M-T,Pedro Camejo,Apure,Venezuela,POINT (6.242 -68.359)
focos_ams_ontem_hoje_ref.3b0f9025-077e-32ea-b53d-2566c0c986f7,-68.36,6.234,2021-07-02T18:10:00,AQUA_M-T,Pedro Camejo,Apure,Venezuela,POINT (6.234 -68.36)
focos_ams_ontem_hoje_ref.77543c44-f93c-3151-91a1-cc524d08753c,-70.356,5.82,2021-07-02T18:10:00,AQUA_M-T,Paz de Ariporo,Casanare,Colombia,POINT (5.82 -70.356)
focos_ams_ontem_hoje_ref.eb4d9b7f-5bd0-3fea-ac83-3361d49417c5,-72.519,8.745,2021-07-02T18:10:00,AQUA_M-T,Jesús María Semprún,Zulia,Venezuela,POINT (8.745 -72.519)
focos_ams_ontem_hoje_ref.50fb4eec-1835-3a7e-9d90-75c3efe38ffa,-70.347,5.822,2021-07-02T18:10:00,AQUA_M-T,Paz de Ariporo,Casanare,Colombia,POINT (5.822 -70.347)
focos_ams_ontem_hoje_ref.e54dc04e-a3b1-35ab-867d-c833259c0845,-73.615,8.306,2021-07-02T18:10:00,AQUA_M-T,Aguachica,Cesar,Colombia,POINT (8.306 -73.615)
focos_ams_ontem_hoje_ref.efaadf36-9b5b-36cd-9be0-9f0fe513548e,-70.876,4.834,2021-07-02T18:10:00,AQUA_M-T,Santa Rosalía,Vichada,Colombia,POINT (4.834 -70.876)
focos_ams_ontem_hoje_ref.d54ba697-d496-34ce-a4c0-c0ce94eeb1d6,-68.405,5.85,2021-07-02T18:10:00,AQUA_M-T,Puerto Carreño,Vichada,Colombia,POINT (5.85 -68.405)
focos_ams_ontem_hoje_ref.0f3724ad-a2ce-359a-906a-c2c277865c3e,-68.578,5.007,2021-07-02T18:10:00,AQUA_M-T,Santa Rita,Vichada,Colombia,POINT (5.007 -68.578)
focos_ams_ontem_hoje_ref.8ad8ca31-f8be-36e9-b3d1-bf1558ebb2b9,-74.425,9.764,2021-07-02T18:10:00,AQUA_M-T,Plato,Magdalena,Colombia,POINT (9.764 -74.425)
focos_ams_ontem_hoje_ref.151ea0b1-29f4-3786-988c-9b89249bcd61,-71.393,4.444,2021-07-02T18:10:00,AQUA_M-T,Puerto Gaitán,Meta,Colombia,POINT (4.444 -71.393)
focos_ams_ontem_hoje_ref.4a6ea79c-2616-353d-847f-52c5bed0cb32,-71.403,4.442,2021-07-02T18:10:00,AQUA_M-T,Puerto Gaitán,Meta,Colombia,POINT (4.442 -71.403)
focos_ams_ontem_hoje_ref.fcacc049-b30b-3930-b151-916f799a8566,-67.83,6.005,2021-07-02T18:10:00,AQUA_M-T,Puerto Carreño,Vichada,Colombia,POINT (6.005 -67.83)
focos_ams_ontem_hoje_ref.dd6e8935-5e03-3de3-ab8d-6a23364166ee,-69.605,5.808,2021-07-02T18:10:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.808 -69.605)
focos_ams_ontem_hoje_ref.a085f0f7-b335-3306-bba9-812c7ae467ad,-69.815,5.64,2021-07-02T18:10:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.64 -69.815)
focos_ams_ontem_hoje_ref.c31253be-4b32-3c22-87b9-018fda2af8c0,-69.816,5.649,2021-07-02T18:10:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.649 -69.816)
focos_ams_ontem_hoje_ref.b429bec5-f743-3b81-9f8d-d29f066b38f7,-65.91,-8.938,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.938 -65.91)
focos_ams_ontem_hoje_ref.11014ac4-d837-3efb-9574-be33a424ab36,-56.604,-11.779,2021-07-02T18:05:00,AQUA_M-T,PORTO DOS GAÚCHOS,MATO GROSSO,Brasil,POINT (-11.779 -56.604)
focos_ams_ontem_hoje_ref.598a3335-318d-3893-bdf9-91397b52af0e,-56.611,-11.786,2021-07-02T18:05:00,AQUA_M-T,PORTO DOS GAÚCHOS,MATO GROSSO,Brasil,POINT (-11.786 -56.611)
focos_ams_ontem_hoje_ref.b50fd9f8-6082-3371-9ba2-02a7b1fb3682,-65.901,-8.937,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.937 -65.901)
focos_ams_ontem_hoje_ref.ec7a75be-d863-3420-849d-dff4cd7ce103,-65.911,-8.929,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.929 -65.911)
focos_ams_ontem_hoje_ref.37f6d3ef-ecd4-33c4-8739-c0bfcbbea2f0,-66.562,-9.85,2021-07-02T18:05:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.85 -66.562)
focos_ams_ontem_hoje_ref.56adfb08-396b-3a85-b13f-b9b2b5389ace,-65.968,-9.572,2021-07-02T18:05:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.572 -65.968)
focos_ams_ontem_hoje_ref.62cb8e7f-407e-3d8a-9108-7140321a2e97,-66.735,-9.553,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.553 -66.735)
focos_ams_ontem_hoje_ref.6cbb6d26-9792-3ef3-87df-9d1c224ac1b2,-66.745,-9.546,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.546 -66.745)
focos_ams_ontem_hoje_ref.537b7bed-6335-3aa7-a8cd-5dca87df9b03,-66.736,-9.544,2021-07-02T18:05:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.544 -66.736)
focos_ams_ontem_hoje_ref.9c50e380-cf17-39fe-a5b6-befc5a5c186c,-65.956,-9.524,2021-07-02T18:05:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.524 -65.956)
focos_ams_ontem_hoje_ref.197955d2-63da-3a6f-9124-500196e7e846,-65.965,-9.508,2021-07-02T18:05:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.508 -65.965)
focos_ams_ontem_hoje_ref.a7754a8c-03d9-3432-a4b5-ee2dd56ecdf6,-66.517,-12.244,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-12.244 -66.517)
focos_ams_ontem_hoje_ref.82853306-3be5-3219-bb11-05f1c2bf83bc,-66.781,-13.438,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.438 -66.781)
focos_ams_ontem_hoje_ref.d2e659d8-713f-339e-a618-b2d0db3fc6b2,-66.772,-13.428,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.428 -66.772)
focos_ams_ontem_hoje_ref.eb3a6826-38f0-379f-8416-3c4e5a3bc65d,-66.763,-13.427,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.427 -66.763)
focos_ams_ontem_hoje_ref.d41ab629-ac83-3ed5-a826-6699cc981a4f,-66.783,-13.42,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.42 -66.783)
focos_ams_ontem_hoje_ref.6d76b2d1-ef39-39f9-9432-28bedd3527fd,-66.774,-13.419,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.419 -66.774)
focos_ams_ontem_hoje_ref.8d330a97-7a02-3caa-a047-e13dd4c8ea85,-57.678,-9.468,2021-07-02T18:05:00,AQUA_M-T,APIACÁS,MATO GROSSO,Brasil,POINT (-9.468 -57.678)
focos_ams_ontem_hoje_ref.a71ba201-5cf5-307d-8304-6f86280e5bfd,-57.681,-9.452,2021-07-02T18:05:00,AQUA_M-T,APIACÁS,MATO GROSSO,Brasil,POINT (-9.452 -57.681)
focos_ams_ontem_hoje_ref.73ea7f88-8e6c-3430-b071-1eb827ca5821,-57.366,-12.684,2021-07-02T18:05:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.684 -57.366)
focos_ams_ontem_hoje_ref.519d0008-4429-389b-a851-76966632d007,-64.788,-14.02,2021-07-02T18:05:00,AQUA_M-T,Mamoré,El Beni,Bolivia,POINT (-14.02 -64.788)
focos_ams_ontem_hoje_ref.46a36dc2-08ac-3032-9441-cd46c4c314d7,-57.373,-12.683,2021-07-02T18:05:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.683 -57.373)
focos_ams_ontem_hoje_ref.2c3e7f4f-63b9-3d05-b564-5534800eb8e6,-57.339,-12.679,2021-07-02T18:05:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.679 -57.339)
focos_ams_ontem_hoje_ref.54b7db49-551f-3cbd-a898-c469b3973d12,-63.962,-14.175,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-14.175 -63.962)
focos_ams_ontem_hoje_ref.2600acef-fd6a-3271-8aec-d5c39c9090d3,-57.346,-12.678,2021-07-02T18:05:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.678 -57.346)
focos_ams_ontem_hoje_ref.c1e18a36-c211-375a-8e49-65d0bb0ca1c8,-57.311,-12.674,2021-07-02T18:05:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.674 -57.311)
focos_ams_ontem_hoje_ref.ed591e50-db39-3f2d-aaf0-214b7998080a,-66.484,-12.625,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-12.625 -66.484)
focos_ams_ontem_hoje_ref.a4677b68-3e3d-3220-b106-51e440471866,-71.279,-8.39,2021-07-02T18:05:00,AQUA_M-T,TARAUACÁ,ACRE,Brasil,POINT (-8.39 -71.279)
focos_ams_ontem_hoje_ref.6cb3eceb-c4cc-384c-9765-e61802592c6d,-57.617,-12.361,2021-07-02T18:05:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,POINT (-12.361 -57.617)
focos_ams_ontem_hoje_ref.ed2cef8e-5a8b-3fcb-a10d-764e4e14cbfc,-66.475,-12.624,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-12.624 -66.475)
focos_ams_ontem_hoje_ref.7a687e07-7ff4-3dfa-869d-f7bd72286c5a,-63.709,-4.7,2021-07-02T18:05:00,AQUA_M-T,COARI,AMAZONAS,Brasil,POINT (-4.7 -63.709)
focos_ams_ontem_hoje_ref.7f758c9f-e8b9-3d98-baed-9f809cfdf65e,-64.488,-9.216,2021-07-02T18:05:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.216 -64.488)
focos_ams_ontem_hoje_ref.577cc58e-26a0-3e5a-a352-c02319f18c97,-68.26,-9.683,2021-07-02T18:05:00,AQUA_M-T,BUJARI,ACRE,Brasil,POINT (-9.683 -68.26)
focos_ams_ontem_hoje_ref.0c6238f9-2769-385d-a1f7-820acdfd448e,-68.958,-9.827,2021-07-02T18:05:00,AQUA_M-T,SENA MADUREIRA,ACRE,Brasil,POINT (-9.827 -68.958)
focos_ams_ontem_hoje_ref.5c9e2708-af3c-39a6-b203-35f101e21729,-67.339,-9.206,2021-07-02T18:05:00,AQUA_M-T,BOCA DO ACRE,AMAZONAS,Brasil,POINT (-9.206 -67.339)
focos_ams_ontem_hoje_ref.7f2db250-d51d-353d-b8fb-54d158b0af81,-63.729,-14.048,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-14.048 -63.729)
focos_ams_ontem_hoje_ref.9c8a88d8-8077-3b44-ae0b-2887a3028818,-67.348,-9.207,2021-07-02T18:05:00,AQUA_M-T,BOCA DO ACRE,AMAZONAS,Brasil,POINT (-9.207 -67.348)
focos_ams_ontem_hoje_ref.47ba4cb1-82e4-32df-b143-dc9a2c490765,-61.936,-12.167,2021-07-02T18:05:00,AQUA_M-T,ALTO ALEGRE DOS PARECIS,RONDÔNIA,Brasil,POINT (-12.167 -61.936)
focos_ams_ontem_hoje_ref.0b5dd972-5c00-3b47-99ff-105691fc94dd,-65.333,-13.933,2021-07-02T18:05:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.933 -65.333)
focos_ams_ontem_hoje_ref.e5b64dc4-00f2-3023-8b1c-f295f8cbaf52,-63.708,-14.054,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-14.054 -63.708)
focos_ams_ontem_hoje_ref.c76f61bf-2286-3d64-b933-4b4e91ff93cd,-68.696,-11.659,2021-07-02T18:05:00,AQUA_M-T,Manuripi,Pando,Bolivia,POINT (-11.659 -68.696)
focos_ams_ontem_hoje_ref.53cd1104-7026-3949-bc71-128f81ea6f70,-67.096,-13.418,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.418 -67.096)
focos_ams_ontem_hoje_ref.efdfbe96-951e-3b4f-b0b1-4eb97b552122,-66.764,-13.418,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.418 -66.764)
focos_ams_ontem_hoje_ref.8caed57e-e8c9-3f2c-8bae-19b61ac522d7,-67.086,-13.416,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.416 -67.086)
focos_ams_ontem_hoje_ref.fce985ac-2b99-3902-891d-53c78f4df5c0,-66.881,-13.332,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.332 -66.881)
focos_ams_ontem_hoje_ref.3ba8a541-5460-3fb6-8acf-bfab7b9da92e,-66.878,-13.324,2021-07-02T18:05:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-13.324 -66.878)
focos_ams_ontem_hoje_ref.5292c1cc-ef4e-3631-9022-ce93aa6b60dc,-64.653,-13.55,2021-07-02T18:05:00,AQUA_M-T,Mamoré,El Beni,Bolivia,POINT (-13.55 -64.653)
focos_ams_ontem_hoje_ref.bab5ac5f-6859-3055-86bc-a1c37ac189b9,-64.153,-12.978,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.978 -64.153)
focos_ams_ontem_hoje_ref.20f2590f-26c7-3f24-8d8d-0b21486975ad,-64.143,-12.977,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.977 -64.143)
focos_ams_ontem_hoje_ref.01d6e7af-1eae-326d-a7e9-adb58e52cbaa,-64.256,-12.921,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.921 -64.256)
focos_ams_ontem_hoje_ref.a1fc1b5d-dc3d-3145-a1f8-fa3a19481668,-64.175,-12.937,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.937 -64.175)
focos_ams_ontem_hoje_ref.efbc5f7b-8f91-33da-af17-0b351bd4a8cd,-64.246,-12.92,2021-07-02T18:05:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.92 -64.246)
focos_ams_ontem_hoje_ref.f64b17cb-4e78-3ca5-86fb-090ad0600bd6,-65.806,-13.826,2021-07-02T18:05:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.826 -65.806)
focos_ams_ontem_hoje_ref.bb2d7383-8698-3bfe-8380-5d43aabede4f,-65.805,-13.835,2021-07-02T18:05:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.835 -65.805)
focos_ams_ontem_hoje_ref.2775fd5f-88a6-3317-aeb4-4db8ba5ac588,-65.814,-13.837,2021-07-02T18:05:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.837 -65.814)
focos_ams_ontem_hoje_ref.1b1f03a1-227b-3c66-b79c-2c2c05f40400,-69.003,-3.115,2021-07-02T18:05:00,AQUA_M-T,SANTO ANTÔNIO DO IÇÁ,AMAZONAS,Brasil,POINT (-3.115 -69.003)
focos_ams_ontem_hoje_ref.9fbe0a5b-d82d-317f-9d54-fd93be9f36d8,-74.425,-11.629,2021-07-02T18:05:00,AQUA_M-T,Satipo,Junín,Peru,POINT (-11.629 -74.425)
focos_ams_ontem_hoje_ref.9d90ba51-b71c-3d27-9abc-4f27ea6b2acf,-61.359,-9.165,2021-07-02T18:05:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.165 -61.359)
focos_ams_ontem_hoje_ref.5ecefdad-9958-3773-b564-e6ced1315260,-62.569,-8.859,2021-07-02T18:05:00,AQUA_M-T,CUJUBIM,RONDÔNIA,Brasil,POINT (-8.859 -62.569)
focos_ams_ontem_hoje_ref.d8a49499-81b1-3b0d-bcf3-b3d4ab18bd2a,-62.485,-9.86,2021-07-02T18:05:00,AQUA_M-T,ARIQUEMES,RONDÔNIA,Brasil,POINT (-9.86 -62.485)
focos_ams_ontem_hoje_ref.0ac2b42f-0e97-3576-8165-fb8134d41af5,-61.843,-8.436,2021-07-02T18:05:00,AQUA_M-T,MANICORÉ,AMAZONAS,Brasil,POINT (-8.436 -61.843)
