FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.05bb92af-db35-3e53-8cbc-6685cbbf6501,-70.754,10.504,2021-07-11T18:05:00,AQUA_M-T,Buchivacoa,Falcón,Venezuela,POINT (10.504 -70.754)
focos_ams_ontem_hoje_ref.28d99014-cf60-3ae3-abfa-406edf9426f2,-69.363,10.091,2021-07-11T18:05:00,AQUA_M-T,Iribarren,Lara,Venezuela,POINT (10.091 -69.363)
focos_ams_ontem_hoje_ref.00a670db-73a3-30a4-9297-d604ade52e5f,-70.764,10.503,2021-07-11T18:05:00,AQUA_M-T,Buchivacoa,Falcón,Venezuela,POINT (10.503 -70.764)
focos_ams_ontem_hoje_ref.8590c697-faf0-3760-a879-a058c69a1c5c,-70.428,10.404,2021-07-11T18:05:00,AQUA_M-T,Torres,Lara,Venezuela,POINT (10.404 -70.428)
focos_ams_ontem_hoje_ref.74104141-d7e6-3b27-a84f-43ea0e72d201,-68.438,9.698,2021-07-11T18:05:00,AQUA_M-T,Tinaco,Cojedes,Venezuela,POINT (9.698 -68.438)
focos_ams_ontem_hoje_ref.a1aa2f8d-025e-3812-ac6f-e9c7dfb5a440,-66.576,-9.477,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.477 -66.576)
focos_ams_ontem_hoje_ref.7aea5f7a-977d-3919-8ec2-7927b5c0533e,-66.566,-9.476,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.476 -66.566)
focos_ams_ontem_hoje_ref.90404e98-4f0b-3e0e-8266-28f9e10d11e5,-68.404,-9.456,2021-07-11T18:00:00,AQUA_M-T,SENA MADUREIRA,ACRE,Brasil,POINT (-9.456 -68.404)
focos_ams_ontem_hoje_ref.04bd15aa-3c7d-359a-9df1-7b19b39b583f,-68.41,-9.454,2021-07-11T18:00:00,AQUA_M-T,SENA MADUREIRA,ACRE,Brasil,POINT (-9.454 -68.41)
focos_ams_ontem_hoje_ref.588beea0-5cc5-314e-931d-251bbd1f0f19,-68.397,-9.452,2021-07-11T18:00:00,AQUA_M-T,SENA MADUREIRA,ACRE,Brasil,POINT (-9.452 -68.397)
focos_ams_ontem_hoje_ref.c54753c8-9a04-3e44-8151-bdcb178c36b4,-65.545,-9.386,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.386 -65.545)
focos_ams_ontem_hoje_ref.4badf9b5-dabb-389f-8eec-d78992e60c9a,-65.536,-9.385,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.385 -65.536)
focos_ams_ontem_hoje_ref.e1953065-ff82-3831-bdae-67fc99eba438,-65.537,-9.376,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-9.376 -65.537)
focos_ams_ontem_hoje_ref.dc0c2ed3-8571-3550-b061-d868c9a7e664,-67.344,-8.932,2021-07-11T18:00:00,AQUA_M-T,BOCA DO ACRE,AMAZONAS,Brasil,POINT (-8.932 -67.344)
focos_ams_ontem_hoje_ref.389da20e-7ef4-331b-b6ee-e4c5a5767dbc,-65.912,-8.924,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.924 -65.912)
focos_ams_ontem_hoje_ref.d1b0e78a-ee0f-3023-a1f6-2c9a41641f91,-65.902,-8.922,2021-07-11T18:00:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.922 -65.902)
