FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.10e24755-b4c8-3232-b654-97d49911d83d,-71.723,-36.766,2021-07-13T19:15:00,AQUA_M-T,Ñuble,Bío-Bío,Chile,POINT (-36.766 -71.723)
focos_ams_ontem_hoje_ref.a594ae90-da5e-3911-9cfb-93e4f6b54911,-61.42,5.647,2021-07-13T17:50:00,AQUA_M-T,Gran Sabana,Bolívar,Venezuela,POINT (5.647 -61.42)
focos_ams_ontem_hoje_ref.a893cc70-e12c-3fc8-9c3a-ad39c3711f81,-70.327,10.545,2021-07-13T17:50:00,AQUA_M-T,Torres,Lara,Venezuela,POINT (10.545 -70.327)
focos_ams_ontem_hoje_ref.4349caf8-a312-3983-b8a7-f2539101afcb,-67.179,10.249,2021-07-13T17:50:00,AQUA_M-T,José R Revenga,Aragua,Venezuela,POINT (10.249 -67.179)
focos_ams_ontem_hoje_ref.d512525d-7233-35f1-8eb4-89d5c9edd4a4,-67.273,10.236,2021-07-13T17:50:00,AQUA_M-T,José Félix Ribas,Aragua,Venezuela,POINT (10.236 -67.273)
focos_ams_ontem_hoje_ref.847a1051-116c-3e92-bf14-34ad91eb1402,-73.062,10.434,2021-07-13T17:50:00,AQUA_M-T,Urumita,La Guajira,Colombia,POINT (10.434 -73.062)
focos_ams_ontem_hoje_ref.770b0f97-ce57-36d7-a194-449d8f151426,-67.541,10.231,2021-07-13T17:50:00,AQUA_M-T,Girardot,Aragua,Venezuela,POINT (10.231 -67.541)
focos_ams_ontem_hoje_ref.8d72acbf-d677-3b53-824b-be6303d501a5,-64.959,10.162,2021-07-13T17:50:00,AQUA_M-T,Fernando de Peñalver,Anzoátegui,Venezuela,POINT (10.162 -64.959)
focos_ams_ontem_hoje_ref.0384605b-4828-3fde-8d8d-60cf2e44442e,-64.969,10.161,2021-07-13T17:50:00,AQUA_M-T,Fernando de Peñalver,Anzoátegui,Venezuela,POINT (10.161 -64.969)
focos_ams_ontem_hoje_ref.7ce3a4dc-458f-3cbb-b2d5-fac6de0289fc,-73.572,10.122,2021-07-13T17:50:00,AQUA_M-T,Valledupar,Cesar,Colombia,POINT (10.122 -73.572)
focos_ams_ontem_hoje_ref.782050b1-4b44-3804-9634-52ba8b24f0a7,-70.528,10.742,2021-07-13T17:50:00,AQUA_M-T,Dabajuro,Falcón,Venezuela,POINT (10.742 -70.528)
focos_ams_ontem_hoje_ref.907e0c10-0e07-3358-9b66-18d6db9ea634,-72.958,10.57,2021-07-13T17:50:00,AQUA_M-T,Villanueva,La Guajira,Colombia,POINT (10.57 -72.958)
focos_ams_ontem_hoje_ref.b2dd7e06-f74f-322e-8e26-afabf52bd824,-64.284,8.445,2021-07-13T17:50:00,AQUA_M-T,Miranda,Anzoátegui,Venezuela,POINT (8.445 -64.284)
focos_ams_ontem_hoje_ref.69ee2570-57fb-38f9-9c6e-534ef392d223,-66.119,8.405,2021-07-13T17:50:00,AQUA_M-T,Infante,Guárico,Venezuela,POINT (8.405 -66.119)
focos_ams_ontem_hoje_ref.63917325-a3b9-32d9-8b00-a05afbc334b7,-61.421,5.657,2021-07-13T17:50:00,AQUA_M-T,Gran Sabana,Bolívar,Venezuela,POINT (5.657 -61.421)
focos_ams_ontem_hoje_ref.8ff3029e-1f08-3cf1-9b5b-1d4790675130,-61.621,5.771,2021-07-13T17:50:00,AQUA_M-T,Gran Sabana,Bolívar,Venezuela,POINT (5.771 -61.621)
