FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.3a41fe8a-91ef-381f-a77f-4adba25b17f1,-43.195,-4.649,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,POINT (-4.649 -43.195)
focos_ams_ontem_hoje_ref.c3a86e85-b6be-345f-b9dc-cd93767d6bff,-43.715,-5.426,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,POINT (-5.426 -43.715)
focos_ams_ontem_hoje_ref.9be9e3ed-70b1-3775-8837-cc4f2474fcd7,-43.156,-4.631,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,POINT (-4.631 -43.156)
focos_ams_ontem_hoje_ref.de469e54-2ed5-3f14-ad7a-e2fc5b47dfed,-43.192,-4.636,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,POINT (-4.636 -43.192)
focos_ams_ontem_hoje_ref.ab0fb56b-9445-33f9-8568-cefdfcbdbd81,-43.158,-4.644,2021-07-08T15:50:00,AQUA_M-T,CAXIAS,MARANHÃO,Brasil,POINT (-4.644 -43.158)
focos_ams_ontem_hoje_ref.387b8f5d-77d1-3f0c-b1f6-5c01d3342189,-42.596,-3.171,2021-07-08T15:50:00,AQUA_M-T,SANTANA DO MARANHÃO,MARANHÃO,Brasil,POINT (-3.171 -42.596)
focos_ams_ontem_hoje_ref.3bb3c76e-e9e2-3d9c-96ec-7698e8be0180,-43.275,-4.41,2021-07-08T15:50:00,AQUA_M-T,ALDEIAS ALTAS,MARANHÃO,Brasil,POINT (-4.41 -43.275)
focos_ams_ontem_hoje_ref.66a13445-23c6-3ca1-a4d4-1c3f14e78681,-42.489,-2.911,2021-07-08T15:50:00,AQUA_M-T,TUTÓIA,MARANHÃO,Brasil,POINT (-2.911 -42.489)
focos_ams_ontem_hoje_ref.168eb061-d539-30de-902e-c2fb4378f45e,-43.711,-5.425,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,POINT (-5.425 -43.711)
focos_ams_ontem_hoje_ref.090370c0-2963-3559-b87e-5847bc02e464,-43.752,-5.43,2021-07-08T15:50:00,AQUA_M-T,PARNARAMA,MARANHÃO,Brasil,POINT (-5.43 -43.752)
focos_ams_ontem_hoje_ref.cd17132c-b28d-3a5b-bf56-55377766efb3,-74.344,9.79,2021-07-07T18:30:00,AQUA_M-T,Plato,Magdalena,Colombia,POINT (9.79 -74.344)
focos_ams_ontem_hoje_ref.3d1396df-d6b3-3c22-8417-291887923424,-75.473,8.819,2021-07-07T18:30:00,AQUA_M-T,San Bernardino de Sahagún,Córdoba,Colombia,POINT (8.819 -75.473)
focos_ams_ontem_hoje_ref.57ee2664-a030-3719-a81f-0efa01d11974,-74.247,11.008,2021-07-07T18:30:00,AQUA_M-T,Ciénaga,Magdalena,Colombia,POINT (11.008 -74.247)
focos_ams_ontem_hoje_ref.6c1de188-3d37-3698-85df-8547b36e3421,-74.088,9.78,2021-07-07T18:30:00,AQUA_M-T,Ariguaní,Magdalena,Colombia,POINT (9.78 -74.088)
focos_ams_ontem_hoje_ref.bf4837ac-1f2f-3a35-bd7f-c05c15ff7b9c,-72.707,-7.34,2021-07-07T18:25:00,AQUA_M-T,GUAJARÁ,AMAZONAS,Brasil,POINT (-7.34 -72.707)
focos_ams_ontem_hoje_ref.afdd0233-95a6-3834-9cb4-2bfc56bc54d5,-75.046,6.827,2021-07-07T18:25:00,AQUA_M-T,Amalfi,Antioquia,Colombia,POINT (6.827 -75.046)
focos_ams_ontem_hoje_ref.44e34612-06e9-383a-93c0-8083fc99eee1,-72.83,-8.219,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,POINT (-8.219 -72.83)
focos_ams_ontem_hoje_ref.52c40593-ab37-3698-85f2-dfa29fbe8759,-75.129,5.858,2021-07-07T18:25:00,AQUA_M-T,Sonsón,Antioquia,Colombia,POINT (5.858 -75.129)
focos_ams_ontem_hoje_ref.ca71671b-da36-3922-a471-9061b821c3fb,-74.622,-8.983,2021-07-07T18:25:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.983 -74.622)
focos_ams_ontem_hoje_ref.70457c0f-86d7-3abe-ad71-4bbdad430559,-72.761,-8.219,2021-07-07T18:25:00,AQUA_M-T,PORTO WALTER,ACRE,Brasil,POINT (-8.219 -72.761)
focos_ams_ontem_hoje_ref.89ca3fd2-87e6-3ed3-afe2-79e66bc57f6b,-74.408,-8.362,2021-07-07T18:25:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.362 -74.408)
focos_ams_ontem_hoje_ref.7858a4ca-81da-34c4-8c0f-e3b95552b1f9,-73.985,7.218,2021-07-07T18:25:00,AQUA_M-T,Yondó,Antioquia,Colombia,POINT (7.218 -73.985)
focos_ams_ontem_hoje_ref.c70025b1-93bd-3226-acd1-5cae00801da7,-76.351,-5.841,2021-07-07T18:25:00,AQUA_M-T,Alto Amazonas,Loreto,Peru,POINT (-5.841 -76.351)
focos_ams_ontem_hoje_ref.06d82f6f-afe9-3b3d-bbb7-10e4a5de7a0d,-76.497,-8.159,2021-07-07T18:25:00,AQUA_M-T,Tocache,San Martín,Peru,POINT (-8.159 -76.497)
focos_ams_ontem_hoje_ref.a631ccbd-4ef9-3666-abc1-7386b23a7d67,-74.327,-8.525,2021-07-07T18:25:00,AQUA_M-T,Coronel Portillo,Ucayali,Peru,POINT (-8.525 -74.327)
focos_ams_ontem_hoje_ref.20b7d06c-44a9-3f21-91f9-f2b5ddbb89ca,-75.013,5.635,2021-07-07T18:25:00,AQUA_M-T,Samaná,Caldas,Colombia,POINT (5.635 -75.013)
focos_ams_ontem_hoje_ref.9733050c-133f-3a8b-8d5c-3eaa767d8935,-74.83,6.205,2021-07-07T18:25:00,AQUA_M-T,San Carlos,Antioquia,Colombia,POINT (6.205 -74.83)
focos_ams_ontem_hoje_ref.00acd8ce-eb51-3bdc-8f0d-1a552b5d29a3,-73.477,7.253,2021-07-07T18:25:00,AQUA_M-T,Sabana de Torres,Santander,Colombia,POINT (7.253 -73.477)
focos_ams_ontem_hoje_ref.50143035-92f1-37b4-9c4e-1a66eb4c3cb4,-75.115,6.624,2021-07-07T18:25:00,AQUA_M-T,Yolombó,Antioquia,Colombia,POINT (6.624 -75.115)
