FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.ab11e87f-943d-3f44-aef3-a4c56babc310,ab11e87f-943d-3f44-aef3-a4c56babc310,-66.754,-9.547,2021-07-03T18:45:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,1302405,13,33,5,0,0.5,Amazônia,POINT (-9.547 -66.754)
focos_brasil_ontem_hoje_ref.0f1ba995-2d23-38f3-8885-ae5824eef033,0f1ba995-2d23-38f3-8885-ae5824eef033,-66.758,-9.547,2021-07-03T18:45:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,1302405,13,33,5,0,0.5,Amazônia,POINT (-9.547 -66.758)
focos_brasil_ontem_hoje_ref.4054e3f7-4e02-3342-9a5c-81e444946673,4054e3f7-4e02-3342-9a5c-81e444946673,-67.545,-10.074,2021-07-03T18:45:00,AQUA_M-T,SENADOR GUIOMARD,ACRE,Brasil,1200450,12,33,5,0,0.5,Amazônia,POINT (-10.074 -67.545)
focos_brasil_ontem_hoje_ref.b7b5b667-5925-3382-9e0b-8ad88a543dd7,b7b5b667-5925-3382-9e0b-8ad88a543dd7,-72.293,-7.752,2021-07-03T18:45:00,AQUA_M-T,CRUZEIRO DO SUL,ACRE,Brasil,1200203,12,33,4,0,0.3,Amazônia,POINT (-7.752 -72.293)
focos_brasil_ontem_hoje_ref.b5430a50-f3f5-35d6-bdf6-0989776b2378,b5430a50-f3f5-35d6-bdf6-0989776b2378,-67.551,-10.069,2021-07-03T18:45:00,AQUA_M-T,SENADOR GUIOMARD,ACRE,Brasil,1200450,12,33,5,0,0.9,Amazônia,POINT (-10.069 -67.551)
focos_brasil_ontem_hoje_ref.f82cd4cb-2195-376c-b070-575acaeb112b,f82cd4cb-2195-376c-b070-575acaeb112b,-72.302,-7.761,2021-07-03T18:45:00,AQUA_M-T,CRUZEIRO DO SUL,ACRE,Brasil,1200203,12,33,4,0,0.7,Amazônia,POINT (-7.761 -72.302)
focos_brasil_ontem_hoje_ref.75a98c03-87cb-3b20-8286-f6446dbdac10,75a98c03-87cb-3b20-8286-f6446dbdac10,-73.022,-7.829,2021-07-03T18:45:00,AQUA_M-T,RODRIGUES ALVES,ACRE,Brasil,1200427,12,33,4,0,0.3,Amazônia,POINT (-7.829 -73.022)
focos_brasil_ontem_hoje_ref.c5dc59ea-739e-3886-acab-ea6c1433d189,c5dc59ea-739e-3886-acab-ea6c1433d189,-50.503,-10.788,2021-07-03T17:10:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,37,0.1,1,Cerrado,POINT (-10.788 -50.503)
focos_brasil_ontem_hoje_ref.62f485ab-5886-35a7-b64b-5aebc6f343d7,62f485ab-5886-35a7-b64b-5aebc6f343d7,-50.389,-10.927,2021-07-03T17:10:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,46,0.3,1,Cerrado,POINT (-10.927 -50.389)
focos_brasil_ontem_hoje_ref.6a94c4e8-d951-3e65-9b57-87ac0547f8d2,6a94c4e8-d951-3e65-9b57-87ac0547f8d2,-50.399,-10.928,2021-07-03T17:10:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,46,0.3,1,Cerrado,POINT (-10.928 -50.399)
focos_brasil_ontem_hoje_ref.d103b532-ae90-3f4f-8cac-57113af7d414,d103b532-ae90-3f4f-8cac-57113af7d414,-50.218,-11.547,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,51,0,1,Cerrado,POINT (-11.547 -50.218)
focos_brasil_ontem_hoje_ref.3cc2d086-b423-3023-a51f-4bd697cb324c,3cc2d086-b423-3023-a51f-4bd697cb324c,-50.135,-11.771,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,48,1.4,1,Cerrado,POINT (-11.771 -50.135)
focos_brasil_ontem_hoje_ref.1da658e3-8d53-3a9d-803d-8876c9b5b0c4,1da658e3-8d53-3a9d-803d-8876c9b5b0c4,-54.672,-11.941,2021-07-03T17:10:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,5107248,51,33,42,0,0.9,Amazônia,POINT (-11.941 -54.672)
focos_brasil_ontem_hoje_ref.e43745fd-34ca-3b30-b95b-925370242641,e43745fd-34ca-3b30-b95b-925370242641,-50.072,-11.931,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,46,0.1,1,Cerrado,POINT (-11.931 -50.072)
focos_brasil_ontem_hoje_ref.7e7dec02-7cc7-3b4c-b574-4915ac7234f7,7e7dec02-7cc7-3b4c-b574-4915ac7234f7,-54.67,-11.951,2021-07-03T17:10:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,5107248,51,33,42,0,0.9,Amazônia,POINT (-11.951 -54.67)
focos_brasil_ontem_hoje_ref.ab17078c-85ee-3216-9bc4-9dbe32a7c849,ab17078c-85ee-3216-9bc4-9dbe32a7c849,-54.681,-11.952,2021-07-03T17:10:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,5107248,51,33,42,0,0.9,Amazônia,POINT (-11.952 -54.681)
focos_brasil_ontem_hoje_ref.1479c1c6-2ed7-3b8c-826e-a045279497a5,1479c1c6-2ed7-3b8c-826e-a045279497a5,-54.674,-11.953,2021-07-03T17:10:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,5107248,51,33,42,0,0.9,Amazônia,POINT (-11.953 -54.674)
focos_brasil_ontem_hoje_ref.9f0a3d00-0a0a-3cf3-9dfb-3ea6bf9ae40c,9f0a3d00-0a0a-3cf3-9dfb-3ea6bf9ae40c,-50.334,-12.024,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,19,0,1,Cerrado,POINT (-12.024 -50.334)
focos_brasil_ontem_hoje_ref.3c5adff8-4c4c-3ec0-881c-213832636286,3c5adff8-4c4c-3ec0-881c-213832636286,-50.344,-12.025,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,18,0,1,Cerrado,POINT (-12.025 -50.344)
focos_brasil_ontem_hoje_ref.41da5d17-bf7a-3ddf-88d9-8c75a83b7bc6,41da5d17-bf7a-3ddf-88d9-8c75a83b7bc6,-50.373,-12.029,2021-07-03T17:10:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,19,0,1,Cerrado,POINT (-12.029 -50.373)
focos_brasil_ontem_hoje_ref.f01890c3-7f44-388e-b5d3-9e135afc467a,f01890c3-7f44-388e-b5d3-9e135afc467a,-54.955,-12.397,2021-07-03T17:10:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,5103700,51,33,40,0,1,Amazônia,POINT (-12.397 -54.955)
focos_brasil_ontem_hoje_ref.08ce71d2-d3ab-303b-981e-f1168c436f6b,08ce71d2-d3ab-303b-981e-f1168c436f6b,-54.401,-12.058,2021-07-03T17:10:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,5103700,51,33,29,0,0.9,Amazônia,POINT (-12.058 -54.401)
focos_brasil_ontem_hoje_ref.03dbe4c5-7dcc-381c-870c-0731bb007c3a,03dbe4c5-7dcc-381c-870c-0731bb007c3a,-43.999,-6.307,2021-07-03T17:10:00,AQUA_M-T,COLINAS,MARANHÃO,Brasil,2103505,21,33,12,0.1,0.9,Cerrado,POINT (-6.307 -43.999)
focos_brasil_ontem_hoje_ref.aed5fff5-0737-3db7-a4a0-ea2f76ce619b,aed5fff5-0737-3db7-a4a0-ea2f76ce619b,-43.99,-6.316,2021-07-03T17:10:00,AQUA_M-T,PARAIBANO,MARANHÃO,Brasil,2107704,21,33,7,0.2,1,Cerrado,POINT (-6.316 -43.99)
focos_brasil_ontem_hoje_ref.fe80b619-4e4e-37ba-bb4c-781f92c121c9,fe80b619-4e4e-37ba-bb4c-781f92c121c9,-44.378,-7.63,2021-07-03T17:10:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,2211209,22,33,55,0,1,Cerrado,POINT (-7.63 -44.378)
focos_brasil_ontem_hoje_ref.9e1540e3-7a62-32b4-8c02-12bc35e05a5d,9e1540e3-7a62-32b4-8c02-12bc35e05a5d,-43.738,-6.962,2021-07-03T17:10:00,AQUA_M-T,MARCOS PARENTE,PIAUÍ,Brasil,2206001,22,33,55,0,1,Cerrado,POINT (-6.962 -43.738)
focos_brasil_ontem_hoje_ref.c0da2265-935f-3f33-9579-d3de632ea902,c0da2265-935f-3f33-9579-d3de632ea902,-43.771,-6.967,2021-07-03T17:10:00,AQUA_M-T,MARCOS PARENTE,PIAUÍ,Brasil,2206001,22,33,50,0,1,Cerrado,POINT (-6.967 -43.771)
focos_brasil_ontem_hoje_ref.3a27fd26-53f2-39ad-940b-50a0a04b4a25,3a27fd26-53f2-39ad-940b-50a0a04b4a25,-43.729,-6.97,2021-07-03T17:10:00,AQUA_M-T,JERUMENHA,PIAUÍ,Brasil,2205300,22,33,50,0,1,Cerrado,POINT (-6.97 -43.729)
focos_brasil_ontem_hoje_ref.5f4278b4-44c2-3384-85c2-21a564b68659,5f4278b4-44c2-3384-85c2-21a564b68659,-44.566,-7.311,2021-07-03T17:10:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,2211209,22,33,0,0,1,Cerrado,POINT (-7.311 -44.566)
focos_brasil_ontem_hoje_ref.35c6e35d-1d2a-3daa-a537-95f5d012c63b,35c6e35d-1d2a-3daa-a537-95f5d012c63b,-43.762,-6.976,2021-07-03T17:10:00,AQUA_M-T,MARCOS PARENTE,PIAUÍ,Brasil,2206001,22,33,54,0,1,Cerrado,POINT (-6.976 -43.762)
focos_brasil_ontem_hoje_ref.1da37a32-4e9f-35cb-bf83-8648a4b3c181,1da37a32-4e9f-35cb-bf83-8648a4b3c181,-42.871,-7.2,2021-07-03T17:10:00,AQUA_M-T,NAZARÉ DO PIAUÍ,PIAUÍ,Brasil,2206704,22,33,20,0,1,Caatinga,POINT (-7.2 -42.871)
focos_brasil_ontem_hoje_ref.9e531d07-89de-323c-badb-4cc941213be0,9e531d07-89de-323c-badb-4cc941213be0,-44.573,-7.312,2021-07-03T17:10:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,2211209,22,33,0,0,1,Cerrado,POINT (-7.312 -44.573)
focos_brasil_ontem_hoje_ref.8fac19e4-25d2-3d79-bb97-4e812f3f35ed,8fac19e4-25d2-3d79-bb97-4e812f3f35ed,-44.593,-7.315,2021-07-03T17:10:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,2211209,22,33,0,0,1,Cerrado,POINT (-7.315 -44.593)
focos_brasil_ontem_hoje_ref.8b8860dc-c7c7-3ec0-8da7-abcc363afc16,8b8860dc-c7c7-3ec0-8da7-abcc363afc16,-44.371,-7.628,2021-07-03T17:10:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,2211209,22,33,55,0,1,Cerrado,POINT (-7.628 -44.371)
focos_brasil_ontem_hoje_ref.a34f2c8b-1edb-3763-a71e-5001bbb390f2,a34f2c8b-1edb-3763-a71e-5001bbb390f2,-58.202,-9.476,2021-07-03T17:10:00,AQUA_M-T,NOVA BANDEIRANTES,MATO GROSSO,Brasil,5106158,51,33,9,0.1,0.6,Amazônia,POINT (-9.476 -58.202)
focos_brasil_ontem_hoje_ref.09326a32-4d43-3999-9818-6d37aa50a4c4,09326a32-4d43-3999-9818-6d37aa50a4c4,-58.19,-9.482,2021-07-03T17:10:00,AQUA_M-T,NOVA BANDEIRANTES,MATO GROSSO,Brasil,5106158,51,33,8,0.1,0.6,Amazônia,POINT (-9.482 -58.19)
focos_brasil_ontem_hoje_ref.b67e5fce-d5f4-3b57-bd96-05d1f263aa9f,b67e5fce-d5f4-3b57-bd96-05d1f263aa9f,-58.2,-9.488,2021-07-03T17:10:00,AQUA_M-T,NOVA BANDEIRANTES,MATO GROSSO,Brasil,5106158,51,33,8,0.1,0.6,Amazônia,POINT (-9.488 -58.2)
focos_brasil_ontem_hoje_ref.f250b0b1-c88c-337c-8a7b-0085069e1a29,f250b0b1-c88c-337c-8a7b-0085069e1a29,-58.208,-9.484,2021-07-03T17:10:00,AQUA_M-T,NOVA BANDEIRANTES,MATO GROSSO,Brasil,5106158,51,33,9,0.1,0.6,Amazônia,POINT (-9.484 -58.208)
focos_brasil_ontem_hoje_ref.fbf67386-06aa-3cd3-bd84-5a19380cc79a,fbf67386-06aa-3cd3-bd84-5a19380cc79a,-47.564,-9.583,2021-07-03T17:10:00,AQUA_M-T,RIO SONO,TOCANTINS,Brasil,1718758,17,33,9,0.1,1,Cerrado,POINT (-9.583 -47.564)
focos_brasil_ontem_hoje_ref.2e6a5931-837b-374b-8d7e-c68f6222811f,2e6a5931-837b-374b-8d7e-c68f6222811f,-47.579,-9.585,2021-07-03T17:10:00,AQUA_M-T,RIO SONO,TOCANTINS,Brasil,1718758,17,33,9,0.1,1,Cerrado,POINT (-9.585 -47.579)
focos_brasil_ontem_hoje_ref.70c49603-0f2b-3a80-aeae-474232906aa8,70c49603-0f2b-3a80-aeae-474232906aa8,-59.29,-9.727,2021-07-03T17:10:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,5103254,51,33,33,0,0.6,Amazônia,POINT (-9.727 -59.29)
focos_brasil_ontem_hoje_ref.c54361af-7bc1-3ab8-8dbb-d5325d72ad74,c54361af-7bc1-3ab8-8dbb-d5325d72ad74,-59.294,-9.732,2021-07-03T17:10:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,5103254,51,33,34,0,0.6,Amazônia,POINT (-9.732 -59.294)
focos_brasil_ontem_hoje_ref.43932be6-4d5f-32e4-86e7-ecbd8ee50138,43932be6-4d5f-32e4-86e7-ecbd8ee50138,-47.505,-9.827,2021-07-03T17:10:00,AQUA_M-T,RIO SONO,TOCANTINS,Brasil,1718758,17,33,9,0,1,Cerrado,POINT (-9.827 -47.505)
