FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.422c2c5d-b1c9-32c1-a73d-3dda6c2b2615,-72.851,8.622,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.622 -72.851)
focos_ams_ontem_hoje_ref.c2c1881e-4938-3ba5-a0a6-676b7f27add3,-75.106,6.625,2021-07-05T18:40:00,AQUA_M-T,Yolombó,Antioquia,Colombia,POINT (6.625 -75.106)
focos_ams_ontem_hoje_ref.d145dc7e-c7c4-371c-9b18-917668cacf66,-70.286,5.038,2021-07-05T18:40:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.038 -70.286)
focos_ams_ontem_hoje_ref.9fe3bd92-9e68-3c45-a07c-6439c7957c0b,-72.834,8.624,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.624 -72.834)
focos_ams_ontem_hoje_ref.e7de7bcd-89b6-31f6-aeb3-c72a977a9149,-70.437,4.629,2021-07-05T18:40:00,AQUA_M-T,Cumaribo,Vichada,Colombia,POINT (4.629 -70.437)
focos_ams_ontem_hoje_ref.d7d9d350-198e-3da4-8d4d-f8ab50935609,-72.846,8.627,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.627 -72.846)
focos_ams_ontem_hoje_ref.beaab15c-9f45-332e-968c-581adce3216d,-75.079,6.71,2021-07-05T18:40:00,AQUA_M-T,Yolombó,Antioquia,Colombia,POINT (6.71 -75.079)
focos_ams_ontem_hoje_ref.b187d65b-4510-3b24-bd4a-dd09c1910d6d,-74.166,7.1,2021-07-05T18:40:00,AQUA_M-T,Cantagallo,Bolívar,Colombia,POINT (7.1 -74.166)
focos_ams_ontem_hoje_ref.4bc06307-8d3e-3f04-968f-72f5bad992b8,-72.899,8.628,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.628 -72.899)
focos_ams_ontem_hoje_ref.6b327d1a-815f-3bc8-b4af-f7b4ceae3773,-70.248,6.586,2021-07-05T18:40:00,AQUA_M-T,Cravo Norte,Arauca,Colombia,POINT (6.586 -70.248)
focos_ams_ontem_hoje_ref.41d31381-2361-3de7-a8d7-a7678a37e2d9,-72.889,8.676,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.676 -72.889)
focos_ams_ontem_hoje_ref.a92043b2-f71f-36fe-b74e-56e1ce111a41,-72.873,8.678,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.678 -72.873)
focos_ams_ontem_hoje_ref.67c3c35a-3f88-37ee-8351-1206b00cf418,-75.425,7.978,2021-07-05T18:40:00,AQUA_M-T,Montelíbano,Córdoba,Colombia,POINT (7.978 -75.425)
focos_ams_ontem_hoje_ref.887630a9-4de5-3f98-a456-f66ecc0d6884,-72.845,8.717,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.717 -72.845)
focos_ams_ontem_hoje_ref.8313e17f-5a0f-3433-a7d8-6642e3e1c21c,-70.28,5.043,2021-07-05T18:40:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.043 -70.28)
focos_ams_ontem_hoje_ref.28bb33af-a985-30da-86d1-627cd22a7da1,-72.521,8.164,2021-07-05T18:40:00,AQUA_M-T,San José de Cúcuta,Norte de Santander,Colombia,POINT (8.164 -72.521)
focos_ams_ontem_hoje_ref.d333dd2f-a145-3b40-b0ff-a01e9c582993,-72.823,8.742,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.742 -72.823)
focos_ams_ontem_hoje_ref.28e37d59-3b15-370e-bf5c-559fbfc7d113,-72.829,8.351,2021-07-05T18:40:00,AQUA_M-T,Sardinata,Norte de Santander,Colombia,POINT (8.351 -72.829)
focos_ams_ontem_hoje_ref.467be99b-37b3-3db1-8a61-bca9e77f6e91,-72.938,8.762,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.762 -72.938)
focos_ams_ontem_hoje_ref.a19e7be1-35c1-3696-93b4-3f650e436108,-70.225,6.589,2021-07-05T18:40:00,AQUA_M-T,Cravo Norte,Arauca,Colombia,POINT (6.589 -70.225)
focos_ams_ontem_hoje_ref.1da7e2c9-f91c-3dd8-9f42-1bc6e792f806,-70.231,6.593,2021-07-05T18:40:00,AQUA_M-T,Cravo Norte,Arauca,Colombia,POINT (6.593 -70.231)
focos_ams_ontem_hoje_ref.670b9812-fbe0-3a00-99b8-b6303c2687e4,-72.926,8.787,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.787 -72.926)
focos_ams_ontem_hoje_ref.9ff80fc5-dad1-3c14-84f8-030a045530ea,-72.839,8.352,2021-07-05T18:40:00,AQUA_M-T,Sardinata,Norte de Santander,Colombia,POINT (8.352 -72.839)
focos_ams_ontem_hoje_ref.96265ade-e1de-3e96-a30e-5dfaeb50490f,-75.116,6.624,2021-07-05T18:40:00,AQUA_M-T,Yolombó,Antioquia,Colombia,POINT (6.624 -75.116)
focos_ams_ontem_hoje_ref.2326e6f8-c358-3d6d-a1d0-c434b67f1e81,-78.017,0.047,2021-07-05T18:40:00,AQUA_M-T,Cayambe,Pichincha,Ecuador,POINT (0.047 -78.017)
focos_ams_ontem_hoje_ref.987e17cf-beb7-3ce8-812c-12d3111d732b,-72.933,8.794,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.794 -72.933)
focos_ams_ontem_hoje_ref.3b03a56d-3f1f-3940-a5ad-b7750625734d,-72.774,8.418,2021-07-05T18:40:00,AQUA_M-T,Tibú,Norte de Santander,Colombia,POINT (8.418 -72.774)
focos_ams_ontem_hoje_ref.edd0021a-68fa-3e5a-b056-f4a5012146e4,-76.002,-6.582,2021-07-05T18:35:00,AQUA_M-T,San Martín,San Martín,Peru,POINT (-6.582 -76.002)
focos_ams_ontem_hoje_ref.790696cb-41bb-339b-9db6-04343e950e96,-75.992,-6.581,2021-07-05T18:35:00,AQUA_M-T,San Martín,San Martín,Peru,POINT (-6.581 -75.992)
focos_ams_ontem_hoje_ref.df609a17-ca12-3833-9b00-59618890411e,-75.667,-6.544,2021-07-05T18:35:00,AQUA_M-T,San Martín,San Martín,Peru,POINT (-6.544 -75.667)
