FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.8d5354bf-2511-3358-89b1-b478e579bd36,8d5354bf-2511-3358-89b1-b478e579bd36,-53.85,-1.733,2021-07-01T17:25:00,AQUA_M-T,MONTE ALEGRE,PARÁ,Brasil,1504802,15,33,,,,Amazônia,POINT (-1.733 -53.85)
focos_brasil_ontem_hoje_ref.27023220-99d3-354f-b01d-83778cafbe37,27023220-99d3-354f-b01d-83778cafbe37,-53.838,-1.732,2021-07-01T17:25:00,AQUA_M-T,MONTE ALEGRE,PARÁ,Brasil,1504802,15,33,,,,Amazônia,POINT (-1.732 -53.838)
focos_brasil_ontem_hoje_ref.9bacfc42-02ff-3d4f-96ea-02e0d7527f69,9bacfc42-02ff-3d4f-96ea-02e0d7527f69,-55.945,-17.797,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-17.797 -55.945)
focos_brasil_ontem_hoje_ref.1f262f80-8562-37b5-8a3c-05689997507a,1f262f80-8562-37b5-8a3c-05689997507a,-55.934,-17.796,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-17.796 -55.934)
focos_brasil_ontem_hoje_ref.a9b85db7-c970-3ebb-a72b-9d48dfb22c5d,a9b85db7-c970-3ebb-a72b-9d48dfb22c5d,-55.941,-17.792,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-17.792 -55.941)
focos_brasil_ontem_hoje_ref.3ffa36b1-069d-38fb-bc49-b04cfe64f7db,3ffa36b1-069d-38fb-bc49-b04cfe64f7db,-57.657,-20.519,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-20.519 -57.657)
focos_brasil_ontem_hoje_ref.1af57413-1f01-3c4d-b1dc-ca80db044736,1af57413-1f01-3c4d-b1dc-ca80db044736,-57.978,-20.432,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-20.432 -57.978)
focos_brasil_ontem_hoje_ref.0f233e03-f499-38b8-8b2d-24720017edb2,0f233e03-f499-38b8-8b2d-24720017edb2,-57.242,-19.04,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-19.04 -57.242)
focos_brasil_ontem_hoje_ref.b4b54dd2-2854-33ce-847e-d022d0c47494,b4b54dd2-2854-33ce-847e-d022d0c47494,-57.257,-19.031,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-19.031 -57.257)
focos_brasil_ontem_hoje_ref.8bd44bcd-e654-3315-933e-7243d1e7644f,8bd44bcd-e654-3315-933e-7243d1e7644f,-53.976,-10.031,2021-07-01T17:20:00,AQUA_M-T,PEIXOTO DE AZEVEDO,MATO GROSSO,Brasil,5106422,51,33,,,,Amazônia,POINT (-10.031 -53.976)
focos_brasil_ontem_hoje_ref.6dc03aad-38e5-3f45-b8ff-3dfa429c19a8,6dc03aad-38e5-3f45-b8ff-3dfa429c19a8,-57.241,-19.05,2021-07-01T17:20:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,5003207,50,33,,,,Pantanal,POINT (-19.05 -57.241)
focos_brasil_ontem_hoje_ref.7fa492a3-97bf-318f-9b41-ae1fa2c24e20,7fa492a3-97bf-318f-9b41-ae1fa2c24e20,-56.597,-11.766,2021-07-01T17:20:00,AQUA_M-T,PORTO DOS GAÚCHOS,MATO GROSSO,Brasil,5106802,51,33,,,,Amazônia,POINT (-11.766 -56.597)
focos_brasil_ontem_hoje_ref.3d41d80d-55b2-3bd7-bee7-b2c52b8474a3,3d41d80d-55b2-3bd7-bee7-b2c52b8474a3,-46.419,-11.712,2021-07-01T17:20:00,AQUA_M-T,NOVO JARDIM,TOCANTINS,Brasil,1715259,17,33,,,,Cerrado,POINT (-11.712 -46.419)
focos_brasil_ontem_hoje_ref.0a8a7484-fa73-3268-b06b-f93c960647c6,0a8a7484-fa73-3268-b06b-f93c960647c6,-46.416,-11.727,2021-07-01T17:20:00,AQUA_M-T,NOVO JARDIM,TOCANTINS,Brasil,1715259,17,33,,,,Cerrado,POINT (-11.727 -46.416)
focos_brasil_ontem_hoje_ref.cb96a1c6-d6f2-317b-9112-0bd4f1490f55,cb96a1c6-d6f2-317b-9112-0bd4f1490f55,-46.448,-11.718,2021-07-01T17:20:00,AQUA_M-T,NOVO JARDIM,TOCANTINS,Brasil,1715259,17,33,,,,Cerrado,POINT (-11.718 -46.448)
focos_brasil_ontem_hoje_ref.758bd60a-ada4-38fa-92cf-292a34875b04,758bd60a-ada4-38fa-92cf-292a34875b04,-46.426,-11.714,2021-07-01T17:20:00,AQUA_M-T,NOVO JARDIM,TOCANTINS,Brasil,1715259,17,33,,,,Cerrado,POINT (-11.714 -46.426)
focos_brasil_ontem_hoje_ref.26f04c7b-6ffa-320b-8a3b-22c0a5594b01,26f04c7b-6ffa-320b-8a3b-22c0a5594b01,-54.276,-11.667,2021-07-01T17:20:00,AQUA_M-T,UNIÃO DO SUL,MATO GROSSO,Brasil,5108303,51,33,,,,Amazônia,POINT (-11.667 -54.276)
focos_brasil_ontem_hoje_ref.5821b85d-98a5-3eb3-8d93-1c874d598a80,5821b85d-98a5-3eb3-8d93-1c874d598a80,-50.33,-11.646,2021-07-01T17:20:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.646 -50.33)
focos_brasil_ontem_hoje_ref.b491c356-9149-32db-a8e5-f5682fa537a3,b491c356-9149-32db-a8e5-f5682fa537a3,-58.517,-11.545,2021-07-01T17:20:00,AQUA_M-T,JUÍNA,MATO GROSSO,Brasil,5105150,51,33,,,,Cerrado,POINT (-11.545 -58.517)
focos_brasil_ontem_hoje_ref.fddc182d-69b2-3e18-b5cb-62c8982d2b00,fddc182d-69b2-3e18-b5cb-62c8982d2b00,-58.96,-11.634,2021-07-01T17:20:00,AQUA_M-T,JUÍNA,MATO GROSSO,Brasil,5105150,51,33,,,,Cerrado,POINT (-11.634 -58.96)
focos_brasil_ontem_hoje_ref.d7561759-e3e0-3257-9fe0-b7f6fec53b4e,d7561759-e3e0-3257-9fe0-b7f6fec53b4e,-58.257,-11.48,2021-07-01T17:20:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,5101902,51,33,,,,Amazônia,POINT (-11.48 -58.257)
focos_brasil_ontem_hoje_ref.445d7b6d-85c2-34ca-bd58-fb070683b6b2,445d7b6d-85c2-34ca-bd58-fb070683b6b2,-54.471,-11.456,2021-07-01T17:20:00,AQUA_M-T,UNIÃO DO SUL,MATO GROSSO,Brasil,5108303,51,33,,,,Amazônia,POINT (-11.456 -54.471)
focos_brasil_ontem_hoje_ref.212c964c-26bf-3e6f-b7ea-2a35950db36c,212c964c-26bf-3e6f-b7ea-2a35950db36c,-54.462,-11.455,2021-07-01T17:20:00,AQUA_M-T,UNIÃO DO SUL,MATO GROSSO,Brasil,5108303,51,33,,,,Amazônia,POINT (-11.455 -54.462)
focos_brasil_ontem_hoje_ref.d1c79d7d-f753-32bf-9a05-431886bb1fe8,d1c79d7d-f753-32bf-9a05-431886bb1fe8,-50.679,-11.437,2021-07-01T17:20:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,,,,Cerrado,POINT (-11.437 -50.679)
