FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.dbb44d6a-3b1f-35a3-b3c3-472ea876159f,-80.439,-3.542,2021-06-29T19:15:00,AQUA_M-T,Tumbes,Tumbes,Peru,POINT (-3.542 -80.439)
focos_ams_ontem_hoje_ref.e6777276-4d83-3ba6-9174-f733410488d2,-72.331,-15.55,2021-06-29T19:10:00,AQUA_M-T,Castilla,Arequipa,Peru,POINT (-15.55 -72.331)
focos_ams_ontem_hoje_ref.fb5c6bfe-5e1e-3918-8ca1-a405e4acca9d,-73.382,-13.204,2021-06-29T19:10:00,AQUA_M-T,La Convención,Cusco,Peru,POINT (-13.204 -73.382)
focos_ams_ontem_hoje_ref.2303a35d-cebb-3510-a17b-5c026f2b6973,-72.382,-15.56,2021-06-29T19:10:00,AQUA_M-T,Castilla,Arequipa,Peru,POINT (-15.56 -72.382)
focos_ams_ontem_hoje_ref.52d14881-548f-3d01-9bf7-a27cf7e57021,-68.305,-31.794,2021-06-29T19:05:00,AQUA_M-T,Veinticinco de Mayo,San Juan,Argentina,POINT (-31.794 -68.305)
focos_ams_ontem_hoje_ref.391c2bb5-12b9-3a4f-9659-24eef7de8b2c,-68.298,-31.793,2021-06-29T19:05:00,AQUA_M-T,Veinticinco de Mayo,San Juan,Argentina,POINT (-31.793 -68.298)
focos_ams_ontem_hoje_ref.d65962eb-9f15-372f-bc9d-ac202894b581,-69.44,-31.407,2021-06-29T19:05:00,AQUA_M-T,Calingasta,San Juan,Argentina,POINT (-31.407 -69.44)
focos_ams_ontem_hoje_ref.1d7a8224-7a79-3567-852b-505b91399b58,-70.917,9.961,2021-06-29T17:40:00,AQUA_M-T,Baralt,Zulia,Venezuela,POINT (9.961 -70.917)
focos_ams_ontem_hoje_ref.ce59b895-67a8-3eff-abd5-20d8b246f031,-68.564,6.631,2021-06-29T17:40:00,AQUA_M-T,Achaguas,Apure,Venezuela,POINT (6.631 -68.564)
focos_ams_ontem_hoje_ref.a197a335-6028-34b6-b9de-bfdafe1fe3b1,-70.895,9.965,2021-06-29T17:40:00,AQUA_M-T,Baralt,Zulia,Venezuela,POINT (9.965 -70.895)
focos_ams_ontem_hoje_ref.fb5175c8-82ce-37b0-8caa-19463f535039,-65.168,8.037,2021-06-29T17:40:00,AQUA_M-T,Monagas,Anzoátegui,Venezuela,POINT (8.037 -65.168)
focos_ams_ontem_hoje_ref.ff138fc1-e9d5-32b4-b640-61ad3523cb52,-70.137,9.941,2021-06-29T17:40:00,AQUA_M-T,Torres,Lara,Venezuela,POINT (9.941 -70.137)
focos_ams_ontem_hoje_ref.711d39cf-4c6c-3e60-8ef2-4fb944426d96,-64.656,9.402,2021-06-29T17:40:00,AQUA_M-T,Aragua,Anzoátegui,Venezuela,POINT (9.402 -64.656)
focos_ams_ontem_hoje_ref.bf1579b9-fca7-3966-a60f-5d21042fd9f3,-68.544,6.635,2021-06-29T17:40:00,AQUA_M-T,Achaguas,Apure,Venezuela,POINT (6.635 -68.544)
focos_ams_ontem_hoje_ref.86e76e69-7aa9-3227-8e09-875fddb8b258,-62.379,7.44,2021-06-29T17:40:00,AQUA_M-T,Piar,Bolívar,Venezuela,POINT (7.44 -62.379)
focos_ams_ontem_hoje_ref.593bc530-9d80-3a48-97f2-95b7e01b522b,-62.37,7.441,2021-06-29T17:40:00,AQUA_M-T,Piar,Bolívar,Venezuela,POINT (7.441 -62.37)
focos_ams_ontem_hoje_ref.0729de55-8911-323a-a5df-bb69f2080f41,-70.891,9.964,2021-06-29T17:40:00,AQUA_M-T,Baralt,Zulia,Venezuela,POINT (9.964 -70.891)
focos_ams_ontem_hoje_ref.092e995d-05df-3d5f-86f5-8984b96813ac,-62.363,7.433,2021-06-29T17:40:00,AQUA_M-T,Piar,Bolívar,Venezuela,POINT (7.433 -62.363)
focos_ams_ontem_hoje_ref.f0bef013-7413-3828-8b73-43bc61662bff,-67.406,6.894,2021-06-29T17:40:00,AQUA_M-T,Pedro Camejo,Apure,Venezuela,POINT (6.894 -67.406)
focos_ams_ontem_hoje_ref.7fdfa729-916c-30b8-b96d-7fc00b7e3d44,-62.488,6.935,2021-06-29T17:40:00,AQUA_M-T,Piar,Bolívar,Venezuela,POINT (6.935 -62.488)
