FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.1bb3528e-7439-33c5-9ec1-d802cd356643,-61.046,4.661,2021-06-27T17:50:00,AQUA_M-T,Gran Sabana,Bolívar,Venezuela,POINT (4.661 -61.046)
focos_ams_ontem_hoje_ref.355ce2ac-821c-39a9-97f1-7596262767c4,-69.92,4.255,2021-06-27T17:50:00,AQUA_M-T,San Jose de Ocune,Vichada,Colombia,POINT (4.255 -69.92)
focos_ams_ontem_hoje_ref.d5a49b67-39dc-3edf-89d1-fb28d2c2a1b6,-59.425,3.719,2021-06-27T17:50:00,AQUA_M-T,Toka - Jakaretinga,Upper Takutu-Upper Essequibo,Guyana,POINT (3.719 -59.425)
focos_ams_ontem_hoje_ref.75a96f22-6066-316f-9364-533121927fc4,-70.909,4.305,2021-06-27T17:50:00,AQUA_M-T,San Jose de Ocune,Vichada,Colombia,POINT (4.305 -70.909)
focos_ams_ontem_hoje_ref.d78b86dd-fe61-3235-8c42-92715906269b,-62.565,7.482,2021-06-27T17:50:00,AQUA_M-T,Piar,Bolívar,Venezuela,POINT (7.482 -62.565)
focos_ams_ontem_hoje_ref.aa2dc9a3-3aea-38e6-925b-13ba095d5e5b,-63.955,7.473,2021-06-27T17:50:00,AQUA_M-T,Sucre,Bolívar,Venezuela,POINT (7.473 -63.955)
focos_ams_ontem_hoje_ref.bb7790a1-dc6e-3cdc-bdbe-f46648aa56e1,-65.994,10.295,2021-06-27T17:50:00,AQUA_M-T,Andrés Bello,Miranda,Venezuela,POINT (10.295 -65.994)
focos_ams_ontem_hoje_ref.2995ebca-69ee-398d-8cca-9f4ab8ab5209,-69.706,5.698,2021-06-27T17:50:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.698 -69.706)
focos_ams_ontem_hoje_ref.cc7fe037-4446-368e-9cf8-8869d776fa7f,-61.119,3.875,2021-06-27T17:50:00,AQUA_M-T,AMAJARI,RORAIMA,Brasil,POINT (3.875 -61.119)
focos_ams_ontem_hoje_ref.d368430a-f8dd-3477-9ae2-e96bb464ecfa,-59.432,3.725,2021-06-27T17:50:00,AQUA_M-T,Toka - Jakaretinga,Upper Takutu-Upper Essequibo,Guyana,POINT (3.725 -59.432)
focos_ams_ontem_hoje_ref.46977c04-560f-3a25-ade0-364470a55fb2,-70.033,5.2,2021-06-27T17:50:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.2 -70.033)
focos_ams_ontem_hoje_ref.5e46f69f-d1d6-3d58-bee8-d945dc65d0a5,-55.958,1.226,2021-06-27T17:50:00,AQUA_M-T,ORIXIMINÁ,PARÁ,Brasil,POINT (1.226 -55.958)
focos_ams_ontem_hoje_ref.d75e6ff3-a348-3140-8352-a29d81b7dfa5,-67.795,10.254,2021-06-27T17:50:00,AQUA_M-T,San Joaquín,Carabobo,Venezuela,POINT (10.254 -67.795)
focos_ams_ontem_hoje_ref.e41f29d1-9f62-3524-b38b-e858d39296a0,-70.049,5.198,2021-06-27T17:50:00,AQUA_M-T,La Primavera,Vichada,Colombia,POINT (5.198 -70.049)
focos_ams_ontem_hoje_ref.9d19a4a3-0a63-33ba-aa4b-f2cc92282bc9,-52.087,-14.367,2021-06-27T17:45:00,AQUA_M-T,NOVA NAZARÉ,MATO GROSSO,Brasil,POINT (-14.367 -52.087)
focos_ams_ontem_hoje_ref.e3166ed7-ce2b-3762-98ae-7bcd901a8452,-63.682,-15.376,2021-06-27T17:45:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.376 -63.682)
focos_ams_ontem_hoje_ref.24edb8d6-d19f-32b4-944f-20d5a2ff6efc,-52.846,-11.826,2021-06-27T17:45:00,AQUA_M-T,QUERÊNCIA,MATO GROSSO,Brasil,POINT (-11.826 -52.846)
focos_ams_ontem_hoje_ref.016ca4f3-7701-31bf-ae93-82c5715ab419,-51.711,-11.727,2021-06-27T17:45:00,AQUA_M-T,ALTO BOA VISTA,MATO GROSSO,Brasil,POINT (-11.727 -51.711)
focos_ams_ontem_hoje_ref.c4201299-4157-3ea8-a7d0-bec927269d8f,-55.17,-12.706,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.706 -55.17)
focos_ams_ontem_hoje_ref.b9664bef-a455-37db-9ef0-977741610853,-54.665,-10.11,2021-06-27T17:45:00,AQUA_M-T,MATUPÁ,MATO GROSSO,Brasil,POINT (-10.11 -54.665)
focos_ams_ontem_hoje_ref.f66e8b47-7002-3b38-8abe-b7d758e81d8a,-63.669,-15.385,2021-06-27T17:45:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.385 -63.669)
focos_ams_ontem_hoje_ref.ea3544bf-ac1a-3afc-85d1-451e8d002307,-53.428,-14.341,2021-06-27T17:45:00,AQUA_M-T,CAMPINÁPOLIS,MATO GROSSO,Brasil,POINT (-14.341 -53.428)
focos_ams_ontem_hoje_ref.47e1d569-bd14-3cbf-8a6f-377d6c76cb5c,-55.168,-12.718,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.718 -55.168)
focos_ams_ontem_hoje_ref.cdf0216f-0956-3771-8da7-3b3c6dc1b8f5,-53.422,-14.336,2021-06-27T17:45:00,AQUA_M-T,CAMPINÁPOLIS,MATO GROSSO,Brasil,POINT (-14.336 -53.422)
focos_ams_ontem_hoje_ref.a75b6349-ef91-3c4a-9338-2116941bdee4,-58.106,-13.84,2021-06-27T17:45:00,AQUA_M-T,CAMPO NOVO DO PARECIS,MATO GROSSO,Brasil,POINT (-13.84 -58.106)
focos_ams_ontem_hoje_ref.d1eaab0c-4620-34f0-906a-0b93d4591d75,-55.188,-12.709,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.709 -55.188)
focos_ams_ontem_hoje_ref.b5713247-831d-32ae-8f07-0d7d733ba05b,-55.124,-11.751,2021-06-27T17:45:00,AQUA_M-T,SINOP,MATO GROSSO,Brasil,POINT (-11.751 -55.124)
focos_ams_ontem_hoje_ref.4cf0cc8c-2b9e-39c4-8895-53185c673e97,-66.502,-19.136,2021-06-27T17:45:00,AQUA_M-T,Eduardo Avaroa,Oruro,Bolivia,POINT (-19.136 -66.502)
focos_ams_ontem_hoje_ref.2209f8a4-6662-3087-8e78-d6bee74821ed,-67.659,-18.182,2021-06-27T17:45:00,AQUA_M-T,Carangas,Oruro,Bolivia,POINT (-18.182 -67.659)
focos_ams_ontem_hoje_ref.ff1397c0-eba2-3ec5-849c-248995e2f975,-55.194,-12.706,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.706 -55.194)
focos_ams_ontem_hoje_ref.508efc79-0db9-3234-b05b-3a4363272933,-63.681,-15.386,2021-06-27T17:45:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.386 -63.681)
focos_ams_ontem_hoje_ref.bcedaeff-d284-3298-993b-00ee0d74432d,-69.524,-11.261,2021-06-27T17:45:00,AQUA_M-T,Tahuamanu,Madre de Dios,Peru,POINT (-11.261 -69.524)
focos_ams_ontem_hoje_ref.5b816deb-6beb-3ebf-bde9-2fdc0785a85a,-63.67,-15.375,2021-06-27T17:45:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.375 -63.67)
focos_ams_ontem_hoje_ref.753b139e-e848-3189-acc0-ce4466b26c8c,-55.176,-12.704,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.704 -55.176)
focos_ams_ontem_hoje_ref.922f2ac8-9106-302a-a96c-d0365e69376d,-52.869,-11.816,2021-06-27T17:45:00,AQUA_M-T,QUERÊNCIA,MATO GROSSO,Brasil,POINT (-11.816 -52.869)
focos_ams_ontem_hoje_ref.f1c7edf9-57bb-3f9b-9c53-25ebc8743174,-58.115,-13.851,2021-06-27T17:45:00,AQUA_M-T,CAMPO NOVO DO PARECIS,MATO GROSSO,Brasil,POINT (-13.851 -58.115)
focos_ams_ontem_hoje_ref.2ac7b595-6265-356b-bfff-bb8ea447c03f,-57.376,-12.679,2021-06-27T17:45:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.679 -57.376)
focos_ams_ontem_hoje_ref.ec0be2eb-39e4-3d52-98f2-f2d0f09910c7,-51.717,-11.721,2021-06-27T17:45:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,POINT (-11.721 -51.717)
focos_ams_ontem_hoje_ref.9b0b1102-5d7f-3d4c-81e7-04da654e9940,-52.876,-11.816,2021-06-27T17:45:00,AQUA_M-T,QUERÊNCIA,MATO GROSSO,Brasil,POINT (-11.816 -52.876)
focos_ams_ontem_hoje_ref.14d991e0-5a84-31dd-b11f-8d9c23ef792c,-55.204,-12.724,2021-06-27T17:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.724 -55.204)
focos_ams_ontem_hoje_ref.c2b8049b-f3f6-3195-a9e7-dfcd01801e2d,-57.364,-12.677,2021-06-27T17:45:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.677 -57.364)
focos_ams_ontem_hoje_ref.2cf29b01-5185-39b2-990b-0e5a8435b5c5,-73.265,-3.743,2021-06-27T17:45:00,AQUA_M-T,Maynas,Loreto,Peru,POINT (-3.743 -73.265)
