FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.103b640e-4a2d-30b6-9575-ae7531bef580,103b640e-4a2d-30b6-9575-ae7531bef580,-56.487,-2.1,2021-07-08T17:30:00,AQUA_M-T,TERRA SANTA,PARÁ,Brasil,1507979,15,33,0,2.9,-999,Amazônia,POINT (-2.1 -56.487)
focos_brasil_ontem_hoje_ref.708cebaf-9bec-3ee9-8c94-d9fcf48cb087,708cebaf-9bec-3ee9-8c94-d9fcf48cb087,-55.148,-6.823,2021-07-08T17:30:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,5,0,0.9,Amazônia,POINT (-6.823 -55.148)
focos_brasil_ontem_hoje_ref.b5f0e6c1-4176-35a9-8da3-6aa3b507bbe5,b5f0e6c1-4176-35a9-8da3-6aa3b507bbe5,-55.15,-6.813,2021-07-08T17:30:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,5,0,0.8,Amazônia,POINT (-6.813 -55.15)
focos_brasil_ontem_hoje_ref.62dbdb4b-5e43-354d-b234-44cd2df6cc5b,62dbdb4b-5e43-354d-b234-44cd2df6cc5b,-55.137,-6.483,2021-07-08T17:30:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,1500602,15,33,6,0,0.6,Amazônia,POINT (-6.483 -55.137)
focos_brasil_ontem_hoje_ref.40e2b332-7b41-346e-a8fc-b82326d2b2da,40e2b332-7b41-346e-a8fc-b82326d2b2da,-63.328,-5.82,2021-07-08T17:30:00,AQUA_M-T,TAPAUÁ,AMAZONAS,Brasil,1304104,13,33,0,0,0.2,Amazônia,POINT (-5.82 -63.328)
focos_brasil_ontem_hoje_ref.c7e1d43a-64fd-3248-b137-eb9d4a1c7ace,c7e1d43a-64fd-3248-b137-eb9d4a1c7ace,-47.876,-4.479,2021-07-08T17:30:00,AQUA_M-T,DOM ELISEU,PARÁ,Brasil,1502939,15,33,3,0,1,Amazônia,POINT (-4.479 -47.876)
focos_brasil_ontem_hoje_ref.fa1e80ee-7467-3d98-bf8b-1c5d99ffefbf,fa1e80ee-7467-3d98-bf8b-1c5d99ffefbf,-47.215,-7.262,2021-07-08T17:25:00,AQUA_M-T,CAROLINA,MARANHÃO,Brasil,2102804,21,33,16,0,1,Cerrado,POINT (-7.262 -47.215)
focos_brasil_ontem_hoje_ref.893001ef-a806-3bba-b87c-a0d2be064901,893001ef-a806-3bba-b87c-a0d2be064901,-45.22,-19.9,2021-07-08T17:25:00,AQUA_M-T,ARAÚJOS,MINAS GERAIS,Brasil,3103900,31,33,32,0,1,Cerrado,POINT (-19.9 -45.22)
focos_brasil_ontem_hoje_ref.dd33c244-d499-3df7-8aea-31670cd63172,dd33c244-d499-3df7-8aea-31670cd63172,-47.733,-20.365,2021-07-08T17:25:00,AQUA_M-T,ITUVERAVA,SÃO PAULO,Brasil,3524105,35,33,27,0,1,Cerrado,POINT (-20.365 -47.733)
focos_brasil_ontem_hoje_ref.284c9281-bf0a-3730-99f6-d37b463d18b9,284c9281-bf0a-3730-99f6-d37b463d18b9,-46.551,-20.392,2021-07-08T17:25:00,AQUA_M-T,DELFINÓPOLIS,MINAS GERAIS,Brasil,3121209,31,33,27,0,1,Cerrado,POINT (-20.392 -46.551)
focos_brasil_ontem_hoje_ref.88309d60-9abc-344c-939d-06a86f5e7b30,88309d60-9abc-344c-939d-06a86f5e7b30,-47.754,-20.369,2021-07-08T17:25:00,AQUA_M-T,ITUVERAVA,SÃO PAULO,Brasil,3524105,35,33,27,0,1,Cerrado,POINT (-20.369 -47.754)
focos_brasil_ontem_hoje_ref.c4752533-d72a-3400-9f49-4236ebb51685,c4752533-d72a-3400-9f49-4236ebb51685,-46.547,-20.406,2021-07-08T17:25:00,AQUA_M-T,DELFINÓPOLIS,MINAS GERAIS,Brasil,3121209,31,33,27,0,1,Cerrado,POINT (-20.406 -46.547)
focos_brasil_ontem_hoje_ref.07c8eca8-16fa-3e80-8178-033cf60d596a,07c8eca8-16fa-3e80-8178-033cf60d596a,-47.817,-20.447,2021-07-08T17:25:00,AQUA_M-T,GUARÁ,SÃO PAULO,Brasil,3517703,35,33,27,0,1,Cerrado,POINT (-20.447 -47.817)
focos_brasil_ontem_hoje_ref.069d041f-d5ea-3379-a284-e8c9e09ead4e,069d041f-d5ea-3379-a284-e8c9e09ead4e,-47.973,-21.095,2021-07-08T17:25:00,AQUA_M-T,SERTÃOZINHO,SÃO PAULO,Brasil,3551702,35,33,8,0,1,Cerrado,POINT (-21.095 -47.973)
focos_brasil_ontem_hoje_ref.8fe398b4-e846-3c9c-a8c5-3c3974716d58,8fe398b4-e846-3c9c-a8c5-3c3974716d58,-47.978,-21.096,2021-07-08T17:25:00,AQUA_M-T,SERTÃOZINHO,SÃO PAULO,Brasil,3551702,35,33,8,0,1,Cerrado,POINT (-21.096 -47.978)
focos_brasil_ontem_hoje_ref.f6aa6bf7-a99f-3baa-a36b-b06a69a2fdd5,f6aa6bf7-a99f-3baa-a36b-b06a69a2fdd5,-47.993,-21.099,2021-07-08T17:25:00,AQUA_M-T,SERTÃOZINHO,SÃO PAULO,Brasil,3551702,35,33,8,0,1,Cerrado,POINT (-21.099 -47.993)
focos_brasil_ontem_hoje_ref.224ef402-541e-3abc-8731-5eaa28d2f0cd,224ef402-541e-3abc-8731-5eaa28d2f0cd,-48.431,-21.101,2021-07-08T17:25:00,AQUA_M-T,TAIÚVA,SÃO PAULO,Brasil,3553203,35,33,8,0,1,Cerrado,POINT (-21.101 -48.431)
focos_brasil_ontem_hoje_ref.7808a6eb-f535-3a4c-a5b3-8e3ed26cde17,7808a6eb-f535-3a4c-a5b3-8e3ed26cde17,-48.45,-21.104,2021-07-08T17:25:00,AQUA_M-T,TAIÚVA,SÃO PAULO,Brasil,3553203,35,33,8,0,1,Cerrado,POINT (-21.104 -48.45)
focos_brasil_ontem_hoje_ref.9621916a-8cce-3709-bbbf-17a725f6881c,9621916a-8cce-3709-bbbf-17a725f6881c,-52.702,-21.848,2021-07-08T17:25:00,AQUA_M-T,ANAURILÂNDIA,MATO GROSSO DO SUL,Brasil,5000807,50,33,10,0,1,Cerrado,POINT (-21.848 -52.702)
focos_brasil_ontem_hoje_ref.77d9638b-d673-3327-894d-ddc1788cb564,77d9638b-d673-3327-894d-ddc1788cb564,-46.935,-21.759,2021-07-08T17:25:00,AQUA_M-T,ITOBI,SÃO PAULO,Brasil,3523800,35,33,8,0,1,Cerrado,POINT (-21.759 -46.935)
focos_brasil_ontem_hoje_ref.3e804852-a623-3210-a8aa-27949eb771bb,3e804852-a623-3210-a8aa-27949eb771bb,-48.413,-21.837,2021-07-08T17:25:00,AQUA_M-T,GAVIÃO PEIXOTO,SÃO PAULO,Brasil,3516853,35,33,8,0,1,Cerrado,POINT (-21.837 -48.413)
focos_brasil_ontem_hoje_ref.0aaae1cf-2c0b-3fb7-a58d-d9bc79c0b076,0aaae1cf-2c0b-3fb7-a58d-d9bc79c0b076,-48.149,-21.905,2021-07-08T17:25:00,AQUA_M-T,ARARAQUARA,SÃO PAULO,Brasil,3503208,35,33,8,0,1,Cerrado,POINT (-21.905 -48.149)
focos_brasil_ontem_hoje_ref.7f52cf39-7d23-33ca-9844-b4993701cec3,7f52cf39-7d23-33ca-9844-b4993701cec3,-48.167,-21.909,2021-07-08T17:25:00,AQUA_M-T,ARARAQUARA,SÃO PAULO,Brasil,3503208,35,33,8,0,1,Cerrado,POINT (-21.909 -48.167)
focos_brasil_ontem_hoje_ref.ccf1abf4-8d73-38da-8f77-55e1c95a560e,ccf1abf4-8d73-38da-8f77-55e1c95a560e,-52.921,-21.909,2021-07-08T17:25:00,AQUA_M-T,ANAURILÂNDIA,MATO GROSSO DO SUL,Brasil,5000807,50,33,11,0,0.9,Cerrado,POINT (-21.909 -52.921)
focos_brasil_ontem_hoje_ref.22ab1ac9-ae1a-3bde-89fc-a89cab517964,22ab1ac9-ae1a-3bde-89fc-a89cab517964,-52.931,-21.911,2021-07-08T17:25:00,AQUA_M-T,ANAURILÂNDIA,MATO GROSSO DO SUL,Brasil,5000807,50,33,10,0,0.9,Cerrado,POINT (-21.911 -52.931)
focos_brasil_ontem_hoje_ref.48b274bb-6db5-3463-8644-81dd51be590d,48b274bb-6db5-3463-8644-81dd51be590d,-48.165,-21.921,2021-07-08T17:25:00,AQUA_M-T,ARARAQUARA,SÃO PAULO,Brasil,3503208,35,33,8,0,1,Cerrado,POINT (-21.921 -48.165)
focos_brasil_ontem_hoje_ref.5ebfe93e-7229-352a-853d-6ff6805c5efa,5ebfe93e-7229-352a-853d-6ff6805c5efa,-48.147,-21.917,2021-07-08T17:25:00,AQUA_M-T,ARARAQUARA,SÃO PAULO,Brasil,3503208,35,33,8,0,1,Cerrado,POINT (-21.917 -48.147)
focos_brasil_ontem_hoje_ref.6b0566b0-ccd5-3d40-a720-96d32c42d656,6b0566b0-ccd5-3d40-a720-96d32c42d656,-47.099,-21.936,2021-07-08T17:25:00,AQUA_M-T,CASA BRANCA,SÃO PAULO,Brasil,3510807,35,33,8,0,0.7,Cerrado,POINT (-21.936 -47.099)
focos_brasil_ontem_hoje_ref.5a190bf7-0ecf-342f-8fe8-69f0e0c37339,5a190bf7-0ecf-342f-8fe8-69f0e0c37339,-47.115,-21.937,2021-07-08T17:25:00,AQUA_M-T,CASA BRANCA,SÃO PAULO,Brasil,3510807,35,33,8,0,1,Cerrado,POINT (-21.937 -47.115)
focos_brasil_ontem_hoje_ref.56092805-16eb-3a9e-a7c5-e30b6845a477,56092805-16eb-3a9e-a7c5-e30b6845a477,-47.121,-21.94,2021-07-08T17:25:00,AQUA_M-T,CASA BRANCA,SÃO PAULO,Brasil,3510807,35,33,8,0,1,Cerrado,POINT (-21.94 -47.121)
focos_brasil_ontem_hoje_ref.6ba40c6f-bd69-3dc3-b884-f9750a18848a,6ba40c6f-bd69-3dc3-b884-f9750a18848a,-46.998,-21.942,2021-07-08T17:25:00,AQUA_M-T,CASA BRANCA,SÃO PAULO,Brasil,3510807,35,33,8,0,0.9,Cerrado,POINT (-21.942 -46.998)
focos_brasil_ontem_hoje_ref.0017ddcb-89cb-3637-90e3-509a9ffa1de7,0017ddcb-89cb-3637-90e3-509a9ffa1de7,-47.021,-21.946,2021-07-08T17:25:00,AQUA_M-T,CASA BRANCA,SÃO PAULO,Brasil,3510807,35,33,8,0,1,Cerrado,POINT (-21.946 -47.021)
focos_brasil_ontem_hoje_ref.70c25b7e-c598-325b-85a3-60f5bb37b502,70c25b7e-c598-325b-85a3-60f5bb37b502,-57.061,-20.443,2021-07-08T17:25:00,AQUA_M-T,PORTO MURTINHO,MATO GROSSO DO SUL,Brasil,5006903,50,33,9,0,1,Cerrado,POINT (-20.443 -57.061)
focos_brasil_ontem_hoje_ref.8e429ce8-7808-3e56-aa30-f9700933b2ea,8e429ce8-7808-3e56-aa30-f9700933b2ea,-56.627,-21.447,2021-07-08T17:25:00,AQUA_M-T,JARDIM,MATO GROSSO DO SUL,Brasil,5005004,50,33,9,0,0.4,Cerrado,POINT (-21.447 -56.627)
focos_brasil_ontem_hoje_ref.aefe675d-b3eb-3209-8e90-5d56c10ec188,aefe675d-b3eb-3209-8e90-5d56c10ec188,-55.804,-21.366,2021-07-08T17:25:00,AQUA_M-T,NIOAQUE,MATO GROSSO DO SUL,Brasil,5005806,50,33,9,0,1,Cerrado,POINT (-21.366 -55.804)
focos_brasil_ontem_hoje_ref.44dd6ca9-d1fb-3bff-9d14-4c3d652aa4bf,44dd6ca9-d1fb-3bff-9d14-4c3d652aa4bf,-56.617,-21.445,2021-07-08T17:25:00,AQUA_M-T,JARDIM,MATO GROSSO DO SUL,Brasil,5005004,50,33,9,0,0.4,Cerrado,POINT (-21.445 -56.617)
focos_brasil_ontem_hoje_ref.0bca4451-16af-3280-b24a-379937961d66,0bca4451-16af-3280-b24a-379937961d66,-56.638,-21.448,2021-07-08T17:25:00,AQUA_M-T,JARDIM,MATO GROSSO DO SUL,Brasil,5005004,50,33,9,0,0.4,Cerrado,POINT (-21.448 -56.638)
