FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_ontem_hoje_ref.4c848aa4-e348-3558-9ab0-7f5b59f3efda,4c848aa4-e348-3558-9ab0-7f5b59f3efda,-60.083,-12.785,2021-07-13T17:45:00,AQUA_M-T,VILHENA,RONDÔNIA,Brasil,1100304,11,33,,,,Amazônia,POINT (-12.785 -60.083)
focos_brasil_ontem_hoje_ref.b16d6ff4-4add-3a39-9b01-4ed951281f4e,b16d6ff4-4add-3a39-9b01-4ed951281f4e,-63.478,-12.489,2021-07-13T17:45:00,AQUA_M-T,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,Brasil,1101492,11,33,,,,Amazônia,POINT (-12.489 -63.478)
focos_brasil_ontem_hoje_ref.7d344622-a8f7-399b-bdb6-d803b06ddee4,7d344622-a8f7-399b-bdb6-d803b06ddee4,-63.479,-12.479,2021-07-13T17:45:00,AQUA_M-T,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,Brasil,1101492,11,33,,,,Amazônia,POINT (-12.479 -63.479)
focos_brasil_ontem_hoje_ref.3c9b9c57-7b54-372d-a35b-89ebd49609a9,3c9b9c57-7b54-372d-a35b-89ebd49609a9,-52.96,-12.616,2021-07-13T17:45:00,AQUA_M-T,GAÚCHA DO NORTE,MATO GROSSO,Brasil,5103858,51,33,,,,Amazônia,POINT (-12.616 -52.96)
focos_brasil_ontem_hoje_ref.af7e3858-22b8-30bd-bfbc-738e00522164,af7e3858-22b8-30bd-bfbc-738e00522164,-57.888,-12.292,2021-07-13T17:45:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,5101902,51,33,,,,Amazônia,POINT (-12.292 -57.888)
focos_brasil_ontem_hoje_ref.36a92cf2-1133-34c2-ad6c-b95321359977,36a92cf2-1133-34c2-ad6c-b95321359977,-62.417,-12.271,2021-07-13T17:45:00,AQUA_M-T,ALTA FLORESTA D'OESTE,RONDÔNIA,Brasil,1100015,11,33,,,,Amazônia,POINT (-12.271 -62.417)
focos_brasil_ontem_hoje_ref.d6445f0f-a087-3e3a-84f9-271143884f22,d6445f0f-a087-3e3a-84f9-271143884f22,-62.407,-12.27,2021-07-13T17:45:00,AQUA_M-T,ALTA FLORESTA D'OESTE,RONDÔNIA,Brasil,1100015,11,33,,,,Amazônia,POINT (-12.27 -62.407)
focos_brasil_ontem_hoje_ref.ef2eae3f-5590-3514-90b6-72b85a1ad0ac,ef2eae3f-5590-3514-90b6-72b85a1ad0ac,-62.418,-12.262,2021-07-13T17:45:00,AQUA_M-T,ALTA FLORESTA D'OESTE,RONDÔNIA,Brasil,1100015,11,33,,,,Amazônia,POINT (-12.262 -62.418)
focos_brasil_ontem_hoje_ref.4e35e45b-01e5-30ff-bf61-cff61ad79735,4e35e45b-01e5-30ff-bf61-cff61ad79735,-62.409,-12.26,2021-07-13T17:45:00,AQUA_M-T,ALTA FLORESTA D'OESTE,RONDÔNIA,Brasil,1100015,11,33,,,,Amazônia,POINT (-12.26 -62.409)
focos_brasil_ontem_hoje_ref.8cb15703-efbd-3b80-913f-d18983b7a135,8cb15703-efbd-3b80-913f-d18983b7a135,-52.753,-18.932,2021-07-13T17:45:00,AQUA_M-T,CHAPADÃO DO SUL,MATO GROSSO DO SUL,Brasil,5002951,50,33,,,,Cerrado,POINT (-18.932 -52.753)
focos_brasil_ontem_hoje_ref.d1f11324-fdd5-345d-97e9-761b720e2117,d1f11324-fdd5-345d-97e9-761b720e2117,-52.732,-18.928,2021-07-13T17:45:00,AQUA_M-T,CHAPADÃO DO SUL,MATO GROSSO DO SUL,Brasil,5002951,50,33,,,,Cerrado,POINT (-18.928 -52.732)
focos_brasil_ontem_hoje_ref.e8548ad5-e21b-35f3-bcaa-85786f80e34f,e8548ad5-e21b-35f3-bcaa-85786f80e34f,-49.722,-15.024,2021-07-13T17:45:00,AQUA_M-T,ITAPACI,GOIÁS,Brasil,5210901,52,33,,,,Cerrado,POINT (-15.024 -49.722)
focos_brasil_ontem_hoje_ref.f773cb2d-40f5-32e4-996a-b53b1e1154ae,f773cb2d-40f5-32e4-996a-b53b1e1154ae,-53.363,-12.077,2021-07-13T17:45:00,AQUA_M-T,GAÚCHA DO NORTE,MATO GROSSO,Brasil,5103858,51,33,,,,Amazônia,POINT (-12.077 -53.363)
focos_brasil_ontem_hoje_ref.10a8dd80-fd91-346e-8f2d-ee522a91463c,10a8dd80-fd91-346e-8f2d-ee522a91463c,-53.338,-12.073,2021-07-13T17:45:00,AQUA_M-T,QUERÊNCIA,MATO GROSSO,Brasil,5107065,51,33,,,,Amazônia,POINT (-12.073 -53.338)
focos_brasil_ontem_hoje_ref.4bb3e4be-10ee-3c9e-9c6f-2dcefdbb352f,4bb3e4be-10ee-3c9e-9c6f-2dcefdbb352f,-53.369,-12.076,2021-07-13T17:45:00,AQUA_M-T,GAÚCHA DO NORTE,MATO GROSSO,Brasil,5103858,51,33,,,,Amazônia,POINT (-12.076 -53.369)
focos_brasil_ontem_hoje_ref.0afeadb6-3c3d-3834-80b2-e3f62960b0cb,0afeadb6-3c3d-3834-80b2-e3f62960b0cb,-53.343,-12.071,2021-07-13T17:45:00,AQUA_M-T,QUERÊNCIA,MATO GROSSO,Brasil,5107065,51,33,,,,Amazônia,POINT (-12.071 -53.343)
focos_brasil_ontem_hoje_ref.e8f548fb-e676-349e-ba2e-b9ee653b4c29,e8f548fb-e676-349e-ba2e-b9ee653b4c29,-51.624,-11.826,2021-07-13T17:45:00,AQUA_M-T,ALTO BOA VISTA,MATO GROSSO,Brasil,5100359,51,33,,,,Cerrado,POINT (-11.826 -51.624)
focos_brasil_ontem_hoje_ref.50e48a62-ca0d-362c-b6c1-5889309020dd,50e48a62-ca0d-362c-b6c1-5889309020dd,-51.63,-11.821,2021-07-13T17:45:00,AQUA_M-T,ALTO BOA VISTA,MATO GROSSO,Brasil,5100359,51,33,,,,Cerrado,POINT (-11.821 -51.63)
focos_brasil_ontem_hoje_ref.cab48575-8c63-3381-9057-15a2fa1b0916,cab48575-8c63-3381-9057-15a2fa1b0916,-63.069,-11.781,2021-07-13T17:45:00,AQUA_M-T,SERINGUEIRAS,RONDÔNIA,Brasil,1101500,11,33,,,,Amazônia,POINT (-11.781 -63.069)
focos_brasil_ontem_hoje_ref.bb3b5468-4838-319b-b979-d8f3e1ab0aad,bb3b5468-4838-319b-b979-d8f3e1ab0aad,-50.438,-11.61,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.61 -50.438)
focos_brasil_ontem_hoje_ref.6be67ba0-9116-3c0c-bbcf-4b2c4ed7a55f,6be67ba0-9116-3c0c-bbcf-4b2c4ed7a55f,-50.435,-11.608,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.608 -50.435)
focos_brasil_ontem_hoje_ref.17dc97c1-6d05-3efd-be13-7b8ad17695a3,17dc97c1-6d05-3efd-be13-7b8ad17695a3,-63.059,-11.78,2021-07-13T17:45:00,AQUA_M-T,SERINGUEIRAS,RONDÔNIA,Brasil,1101500,11,33,,,,Amazônia,POINT (-11.78 -63.059)
focos_brasil_ontem_hoje_ref.886afcf8-b1a2-3887-a6a1-b0fd6e42fee5,886afcf8-b1a2-3887-a6a1-b0fd6e42fee5,-50.395,-11.602,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.602 -50.395)
focos_brasil_ontem_hoje_ref.f4dc9699-339b-37a3-a5e4-998bad4ac9e4,f4dc9699-339b-37a3-a5e4-998bad4ac9e4,-50.392,-11.6,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.6 -50.392)
focos_brasil_ontem_hoje_ref.3d9e8803-c170-3116-9885-104998cd2d91,3d9e8803-c170-3116-9885-104998cd2d91,-61.094,-11.597,2021-07-13T17:45:00,AQUA_M-T,ESPIGÃO D'OESTE,RONDÔNIA,Brasil,1100098,11,33,,,,Amazônia,POINT (-11.597 -61.094)
focos_brasil_ontem_hoje_ref.17fdf81e-0f68-378d-9e21-a6ee1976db4b,17fdf81e-0f68-378d-9e21-a6ee1976db4b,-50.442,-11.592,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.592 -50.442)
focos_brasil_ontem_hoje_ref.4e125c16-b17e-34d2-880b-975b498bd6d5,4e125c16-b17e-34d2-880b-975b498bd6d5,-50.399,-11.585,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.585 -50.399)
focos_brasil_ontem_hoje_ref.08392c4a-1db5-313e-abd8-3e87286839c9,08392c4a-1db5-313e-abd8-3e87286839c9,-50.395,-11.582,2021-07-13T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,1708205,17,33,,,,Cerrado,POINT (-11.582 -50.395)
focos_brasil_ontem_hoje_ref.8554eead-ea6e-360c-8671-c2eff39aa1d0,8554eead-ea6e-360c-8671-c2eff39aa1d0,-50.381,-11.489,2021-07-13T17:45:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,,,,Cerrado,POINT (-11.489 -50.381)
focos_brasil_ontem_hoje_ref.7fd01633-e054-3287-bf63-ab4605b204b2,7fd01633-e054-3287-bf63-ab4605b204b2,-51.101,-11.33,2021-07-13T17:45:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,,,,Cerrado,POINT (-11.33 -51.101)
focos_brasil_ontem_hoje_ref.e5fcff74-caf9-3c97-98eb-10f9227c6a18,e5fcff74-caf9-3c97-98eb-10f9227c6a18,-50.373,-11.488,2021-07-13T17:45:00,AQUA_M-T,LAGOA DA CONFUSÃO,TOCANTINS,Brasil,1711902,17,33,,,,Cerrado,POINT (-11.488 -50.373)
focos_brasil_ontem_hoje_ref.18f48219-79e0-3f9b-ad80-ca40ed3d79aa,18f48219-79e0-3f9b-ad80-ca40ed3d79aa,-51.106,-11.328,2021-07-13T17:45:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,,,,Cerrado,POINT (-11.328 -51.106)
