FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.8f8e4c6f-6210-3610-88c7-51f21aa9f289,-71.914,9.002,2021-06-28T18:35:00,AQUA_M-T,Colón,Zulia,Venezuela,POINT (9.002 -71.914)
focos_ams_ontem_hoje_ref.4f888266-2f01-3720-9d3c-6968bf3601d3,-76.646,5.679,2021-06-28T18:35:00,AQUA_M-T,Quibdó,Chocó,Colombia,POINT (5.679 -76.646)
focos_ams_ontem_hoje_ref.aae0fcde-ba7d-3035-a085-67d41572ef28,-71.668,10.954,2021-06-28T18:35:00,AQUA_M-T,Almirante Padilla,Zulia,Venezuela,POINT (10.954 -71.668)
focos_ams_ontem_hoje_ref.29a82dad-6869-33cd-83f5-537436ac319c,-70.827,5.54,2021-06-28T18:35:00,AQUA_M-T,Paz de Ariporo,Casanare,Colombia,POINT (5.54 -70.827)
focos_ams_ontem_hoje_ref.9a622115-a15e-36f6-b02b-e76455e9c2db,-62.283,-9.412,2021-06-28T18:30:00,AQUA_M-T,MACHADINHO D'OESTE,RONDÔNIA,Brasil,POINT (-9.412 -62.283)
focos_ams_ontem_hoje_ref.b8e8acd4-92ba-369d-801c-adf2e28078fa,-80.666,-2.329,2021-06-28T18:30:00,AQUA_M-T,Santa Elena,Santa Elena,Ecuador,POINT (-2.329 -80.666)
focos_ams_ontem_hoje_ref.5928bf9c-7782-3299-835a-9e46a6e1e992,-77.685,-10.685,2021-06-28T18:30:00,AQUA_M-T,Barranca,Lima,Peru,POINT (-10.685 -77.685)
focos_ams_ontem_hoje_ref.240d8786-193f-3dbd-bd44-0ee9d6a99ae7,-76.584,-6.887,2021-06-28T18:30:00,AQUA_M-T,Bellavista,San Martín,Peru,POINT (-6.887 -76.584)
focos_ams_ontem_hoje_ref.501b6d61-d308-32be-918b-be52d3c9bc31,-62.278,-9.412,2021-06-28T18:30:00,AQUA_M-T,MACHADINHO D'OESTE,RONDÔNIA,Brasil,POINT (-9.412 -62.278)
focos_ams_ontem_hoje_ref.672ec6ce-6abb-39fa-b158-283b0b38dcfc,-77.068,3.888,2021-06-28T18:30:00,AQUA_M-T,Buenaventura,Valle del Cauca,Colombia,POINT (3.888 -77.068)
focos_ams_ontem_hoje_ref.8b15c8f4-ab9b-37d7-b17c-cea9f1dc2cec,-73.379,-13.21,2021-06-28T18:30:00,AQUA_M-T,La Convención,Cusco,Peru,POINT (-13.21 -73.379)
focos_ams_ontem_hoje_ref.30a11614-8a3a-33fb-9563-b2e7a17e7d2e,-75.29,-7.136,2021-06-28T18:30:00,AQUA_M-T,Ucayali,Loreto,Peru,POINT (-7.136 -75.29)
focos_ams_ontem_hoje_ref.0352cf1c-ec4e-331d-a885-ca00b17447e0,-76.497,-8.159,2021-06-28T18:30:00,AQUA_M-T,Tocache,San Martín,Peru,POINT (-8.159 -76.497)
focos_ams_ontem_hoje_ref.5b0548af-f0dd-3101-b2aa-d6ff3e5b93e0,-76.498,-8.148,2021-06-28T18:30:00,AQUA_M-T,Tocache,San Martín,Peru,POINT (-8.148 -76.498)
focos_ams_ontem_hoje_ref.9a3311bb-d6a7-3535-b036-02fec2cb9df3,-74.035,-11.609,2021-06-28T18:30:00,AQUA_M-T,Satipo,Junín,Peru,POINT (-11.609 -74.035)
focos_ams_ontem_hoje_ref.e904a175-8d79-3ae4-8fc5-4e9445c3ddef,-76.764,-6.679,2021-06-28T18:30:00,AQUA_M-T,El Dorado,San Martín,Peru,POINT (-6.679 -76.764)
focos_ams_ontem_hoje_ref.1d69ec56-e0af-3581-b5bf-472596c1d32a,-77.696,-10.692,2021-06-28T18:30:00,AQUA_M-T,Barranca,Lima,Peru,POINT (-10.692 -77.696)
focos_ams_ontem_hoje_ref.c8caca85-bab9-3331-b796-69384cacffed,-73.38,-13.2,2021-06-28T18:30:00,AQUA_M-T,La Convención,Cusco,Peru,POINT (-13.2 -73.38)
focos_ams_ontem_hoje_ref.b890bd1e-0e0f-3e61-8e47-87916e00a1bd,-75.894,-12.691,2021-06-28T18:30:00,AQUA_M-T,Yauyos,Lima,Peru,POINT (-12.691 -75.894)
focos_ams_ontem_hoje_ref.971cc78b-acf9-3fc8-b62e-35edbf00b896,-57.759,-24.117,2021-06-28T18:25:00,AQUA_M-T,Villa Hayes,Presidente Hayes,Paraguay,POINT (-24.117 -57.759)
focos_ams_ontem_hoje_ref.b9edd81d-f00c-324b-8241-58b1590565ca,-61.334,-21.247,2021-06-28T18:25:00,AQUA_M-T,General Eugenio A. Garay,Boquerón,Paraguay,POINT (-21.247 -61.334)
focos_ams_ontem_hoje_ref.3660a516-7c18-3622-aed2-0fdae13a05a6,-60.196,-29.89,2021-06-28T18:25:00,AQUA_M-T,Vera,Santa Fe,Argentina,POINT (-29.89 -60.196)
focos_ams_ontem_hoje_ref.b855d6e1-717d-3661-a465-7a4b28a8afb7,-63.471,-24.465,2021-06-28T18:25:00,AQUA_M-T,Anta,Salta,Argentina,POINT (-24.465 -63.471)
focos_ams_ontem_hoje_ref.6d7c7bed-df97-3044-b055-43d5bc99a521,-60.192,-29.886,2021-06-28T18:25:00,AQUA_M-T,Vera,Santa Fe,Argentina,POINT (-29.886 -60.192)
focos_ams_ontem_hoje_ref.d59dd74d-e3dd-3f39-bd06-8d6347102b81,-56.79,-28.422,2021-06-28T18:25:00,AQUA_M-T,San Martín,Corrientes,Argentina,POINT (-28.422 -56.79)
focos_ams_ontem_hoje_ref.21324337-4bd9-3267-89e7-9c03674c00fa,-61.214,-22.011,2021-06-28T18:25:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-22.011 -61.214)
focos_ams_ontem_hoje_ref.e3d06183-a4af-3d68-8a85-754592bf13f4,-61.241,-22.016,2021-06-28T18:25:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-22.016 -61.241)
focos_ams_ontem_hoje_ref.b78c33e5-efd7-3890-9f39-7e6fab60f804,-61.337,-21.232,2021-06-28T18:25:00,AQUA_M-T,General Eugenio A. Garay,Boquerón,Paraguay,POINT (-21.232 -61.337)
focos_ams_ontem_hoje_ref.b9013ae6-e80e-3e62-851f-1531df2d16e7,-64.442,-27.985,2021-06-28T18:25:00,AQUA_M-T,Capital,Santiago del Estero,Argentina,POINT (-27.985 -64.442)
focos_ams_ontem_hoje_ref.d7df729c-aee4-3778-86e7-d6c220aeb6e7,-61.036,-22.22,2021-06-28T18:25:00,AQUA_M-T,Mariscal José Félix Estigarribia,Boquerón,Paraguay,POINT (-22.22 -61.036)
focos_ams_ontem_hoje_ref.88982d13-c95d-3651-b4fa-276427db171c,-66.004,-18.927,2021-06-28T18:25:00,AQUA_M-T,Chayanta,Potosí,Bolivia,POINT (-18.927 -66.004)
focos_ams_ontem_hoje_ref.128a26cc-d279-3046-ad96-989012f824ef,-66.012,-18.931,2021-06-28T18:25:00,AQUA_M-T,Chayanta,Potosí,Bolivia,POINT (-18.931 -66.012)
focos_ams_ontem_hoje_ref.43c3a09a-3372-3468-8ffe-3ecd0c7aa2ad,-61.055,-28.31,2021-06-28T18:25:00,AQUA_M-T,Nueve de Julio,Santa Fe,Argentina,POINT (-28.31 -61.055)
focos_ams_ontem_hoje_ref.beb9118a-bbbf-383f-b015-e7678d131dd9,-61.7,-23.353,2021-06-28T18:25:00,AQUA_M-T,Bermejo,Formosa,Argentina,POINT (-23.353 -61.7)
focos_ams_ontem_hoje_ref.f4f02286-d58c-3686-b04b-855b70f560af,-61.062,-23.086,2021-06-28T18:25:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-23.086 -61.062)
focos_ams_ontem_hoje_ref.357c9b0c-44f3-3b98-af82-f9455259eb1a,-61.249,-22.014,2021-06-28T18:25:00,AQUA_M-T,Doctor Pedro P. Peña,Boquerón,Paraguay,POINT (-22.014 -61.249)
focos_ams_ontem_hoje_ref.06250abc-9d07-332b-9619-add4687642a7,-61.926,-28.189,2021-06-28T18:25:00,AQUA_M-T,Juan Felipe Ibarra,Santiago del Estero,Argentina,POINT (-28.189 -61.926)
focos_ams_ontem_hoje_ref.3328687d-d9fb-3ff7-a0f0-6ce4217a2dab,-61.932,-28.186,2021-06-28T18:25:00,AQUA_M-T,Juan Felipe Ibarra,Santiago del Estero,Argentina,POINT (-28.186 -61.932)
