FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.a1fb73ae-4092-31d6-8846-0b80e019b808,-73.914,9.413,2021-07-09T18:15:00,AQUA_M-T,Chimichagua,Cesar,Colombia,POINT (9.413 -73.914)
focos_ams_ontem_hoje_ref.70d71154-1b67-3463-82d5-35b767e15fe3,-72.914,11.274,2021-07-09T18:15:00,AQUA_M-T,Riohacha,La Guajira,Colombia,POINT (11.274 -72.914)
focos_ams_ontem_hoje_ref.d389ad3f-c307-3e62-aaec-9ac40e0d242a,-73.913,9.403,2021-07-09T18:15:00,AQUA_M-T,Chimichagua,Cesar,Colombia,POINT (9.403 -73.913)
focos_ams_ontem_hoje_ref.f3040f2b-f8e6-397e-af89-cf88ba3848d2,-72.923,11.272,2021-07-09T18:15:00,AQUA_M-T,Riohacha,La Guajira,Colombia,POINT (11.272 -72.923)
focos_ams_ontem_hoje_ref.d519dc3e-0e3e-3e59-a74f-1849a9d93181,-73.082,8.145,2021-07-09T18:15:00,AQUA_M-T,Abrego,Norte de Santander,Colombia,POINT (8.145 -73.082)
focos_ams_ontem_hoje_ref.6c34a92b-77bb-3cd0-9df8-150e844eb0ff,-67.59,5.578,2021-07-09T18:15:00,AQUA_M-T,Atures,Amazonas,Venezuela,POINT (5.578 -67.59)
focos_ams_ontem_hoje_ref.fd9c60a1-aafc-3ee5-8e06-b585bb805c4d,-68.69,4.742,2021-07-09T18:15:00,AQUA_M-T,Santa Rita,Vichada,Colombia,POINT (4.742 -68.69)
focos_ams_ontem_hoje_ref.120cfb60-dba2-344f-bbb9-328188afc66c,-73.013,8.219,2021-07-09T18:15:00,AQUA_M-T,Abrego,Norte de Santander,Colombia,POINT (8.219 -73.013)
focos_ams_ontem_hoje_ref.bf6c986b-7581-3489-bbe0-599d43d87a92,-73.073,8.147,2021-07-09T18:15:00,AQUA_M-T,Abrego,Norte de Santander,Colombia,POINT (8.147 -73.073)
focos_ams_ontem_hoje_ref.86038d40-383e-361d-8b3d-d763bd98b64e,-63.219,-16.526,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.526 -63.219)
focos_ams_ontem_hoje_ref.56a5ae3c-9980-3fc4-97ec-605f48e12be7,-69.39,-10.672,2021-07-09T18:10:00,AQUA_M-T,BRASILÉIA,ACRE,Brasil,POINT (-10.672 -69.39)
focos_ams_ontem_hoje_ref.b8f746ce-8af7-3273-aba5-c5cedaca00f8,-66.616,-12.145,2021-07-09T18:10:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-12.145 -66.616)
focos_ams_ontem_hoje_ref.88481475-a430-3637-abe6-043158c659f1,-74.714,-9.022,2021-07-09T18:10:00,AQUA_M-T,Puerto Inca,Huánuco,Peru,POINT (-9.022 -74.714)
focos_ams_ontem_hoje_ref.9f4f500d-bece-332a-995e-57225801a45b,-74.723,-9.012,2021-07-09T18:10:00,AQUA_M-T,Puerto Inca,Huánuco,Peru,POINT (-9.012 -74.723)
focos_ams_ontem_hoje_ref.932992a1-27d1-3bc7-9e56-769f2c731931,-61.97,-16.311,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.311 -61.97)
focos_ams_ontem_hoje_ref.55b85af1-e683-3644-9956-30310f7e328d,-66.6,-11.94,2021-07-09T18:10:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.94 -66.6)
focos_ams_ontem_hoje_ref.d734e620-e60f-330a-a68a-35524ff87f6b,-61.956,-16.308,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.308 -61.956)
focos_ams_ontem_hoje_ref.f3e30c1a-609b-3503-9fb6-b10e83a0fea9,-61.942,-16.306,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.306 -61.942)
focos_ams_ontem_hoje_ref.0bb0bc2c-8fc0-3bc1-88a4-bac6300a147c,-66.227,-11.894,2021-07-09T18:10:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.894 -66.227)
focos_ams_ontem_hoje_ref.6ca25f8e-9895-3311-8e59-16d668f3cd78,-61.928,-16.304,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.304 -61.928)
focos_ams_ontem_hoje_ref.a5c39a92-d9db-3c00-815e-34b8a3d83fc7,-60.986,-16.303,2021-07-09T18:10:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.303 -60.986)
focos_ams_ontem_hoje_ref.3de7f760-a06d-3d4b-b066-7bccd63d5789,-66.592,-11.93,2021-07-09T18:10:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.93 -66.592)
focos_ams_ontem_hoje_ref.aa0eea73-4290-3d50-b3bb-a9dd590d0d24,-60.992,-16.298,2021-07-09T18:10:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.298 -60.992)
focos_ams_ontem_hoje_ref.9116d705-5420-3593-a8e7-23c61a4a8064,-60.976,-16.295,2021-07-09T18:10:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.295 -60.976)
focos_ams_ontem_hoje_ref.1242cf96-4066-319e-ba21-c1f9c3ef0fd7,-63.492,-16.283,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.283 -63.492)
focos_ams_ontem_hoje_ref.2a047fd0-b3a6-333e-8b19-56573ca1364a,-63.48,-16.282,2021-07-09T18:10:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.282 -63.48)
focos_ams_ontem_hoje_ref.85ce6906-1e4a-38c5-8f53-6f5098fcdf7b,-66.218,-11.893,2021-07-09T18:10:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.893 -66.218)
focos_ams_ontem_hoje_ref.a3d591e1-7693-3410-932a-08b359610f91,-63.997,-16.28,2021-07-09T18:10:00,AQUA_M-T,Obispo Santistevan,Santa Cruz,Bolivia,POINT (-16.28 -63.997)
focos_ams_ontem_hoje_ref.bdb6e257-23b5-327d-83ae-2ef559b6feac,-63.986,-16.278,2021-07-09T18:10:00,AQUA_M-T,Obispo Santistevan,Santa Cruz,Bolivia,POINT (-16.278 -63.986)
focos_ams_ontem_hoje_ref.47dd0c9f-989b-346a-ac53-84c805b19b7b,-66.237,-11.878,2021-07-09T18:10:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.878 -66.237)
